id,id,Account.id,,0,1,[]
meta,Meta,Account.meta,,0,1,[]
implicitRules,uri,Account.implicitRules,,0,1,[]
language,code,Account.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,Account.text,,0,1,[]
contained,Resource,Account.contained,,0,Infinity,[]
extension,Extension,Account.extension,,0,Infinity,[]
modifierExtension,Extension,Account.modifierExtension,,0,Infinity,[]
identifier,Identifier,Account.identifier,,0,Infinity,[]
status,code,Account.status,"{""http://hl7.org/fhir/account-status""=>[""active"", ""inactive"", ""entered-in-error"", ""on-hold"", ""unknown""]}",1,1,[]
type,CodeableConcept,Account.type,"{""http://terminology.hl7.org/CodeSystem/v3-ActCode""=>[""ACCTRECEIVABLE"", ""CASH"", ""CC"", ""AE"", ""DN"", ""DV"", ""MC"", ""V"", ""PBILLACCT""]}",0,1,[]
name,string,Account.name,,0,1,[]
subject,Reference,Account.subject,,0,Infinity,"[""Patient"", ""Device"", ""Practitioner"", ""PractitionerRole"", ""Location"", ""HealthcareService"", ""Organization""]"
servicePeriod,Period,Account.servicePeriod,,0,1,[]
coverage,Account::Coverage,Account.coverage,,0,Infinity,[]
owner,Reference,Account.owner,,0,1,"[""Organization""]"
description,string,Account.description,,0,1,[]
guarantor,Account::Guarantor,Account.guarantor,,0,Infinity,[]
partOf,Reference,Account.partOf,,0,1,"[""Account""]"
