id,id,AuditEvent.id,,0,1,[]
meta,Meta,AuditEvent.meta,,0,1,[]
implicitRules,uri,AuditEvent.implicitRules,,0,1,[]
language,code,AuditEvent.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,AuditEvent.text,,0,1,[]
contained,Resource,AuditEvent.contained,,0,Infinity,[]
extension,Extension,AuditEvent.extension,,0,Infinity,[]
modifierExtension,Extension,AuditEvent.modifierExtension,,0,Infinity,[]
type,Coding,AuditEvent.type,"{""http://dicom.nema.org/resources/ontology/DCM""=>[""110100"", ""110101"", ""110102"", ""110103"", ""110104"", ""110105"", ""110106"", ""110107"", ""110108"", ""110109"", ""110110"", ""110111"", ""110112"", ""110113"", ""110114""]}",1,1,[]
subtype,Coding,AuditEvent.subtype,"{""http://dicom.nema.org/resources/ontology/DCM""=>[""110120"", ""110121"", ""110122"", ""110123"", ""110124"", ""110125"", ""110126"", ""110127"", ""110128"", ""110129"", ""110130"", ""110131"", ""110132"", ""110133"", ""110134"", ""110135"", ""110136"", ""110137"", ""110138"", ""110139"", ""110140"", ""110141"", ""110142""]}",0,Infinity,[]
action,code,AuditEvent.action,"{""http://hl7.org/fhir/audit-event-action""=>[""C"", ""R"", ""U"", ""D"", ""E""]}",0,1,[]
period,Period,AuditEvent.period,,0,1,[]
recorded,instant,AuditEvent.recorded,,1,1,[]
outcome,code,AuditEvent.outcome,"{""http://hl7.org/fhir/audit-event-outcome""=>[""0"", ""4"", ""8"", ""12""]}",0,1,[]
outcomeDesc,string,AuditEvent.outcomeDesc,,0,1,[]
purposeOfEvent,CodeableConcept,AuditEvent.purposeOfEvent,"{""http://terminology.hl7.org/CodeSystem/v3-ActReason""=>[""PurposeOfUse"", ""HMARKT"", ""HOPERAT"", ""CAREMGT"", ""DONAT"", ""FRAUD"", ""GOV"", ""HACCRED"", ""HCOMPL"", ""HDECD"", ""HDIRECT"", ""HDM"", ""HLEGAL"", ""HOUTCOMS"", ""HPRGRP"", ""HQUALIMP"", ""HSYSADMIN"", ""LABELING"", ""METAMGT"", ""MEMADMIN"", ""MILCDM"", ""PATADMIN"", ""PATSFTY"", ""PERFMSR"", ""RECORDMGT"", ""SYSDEV"", ""HTEST"", ""TRAIN"", ""HPAYMT"", ""CLMATTCH"", ""COVAUTH"", ""COVERAGE"", ""ELIGDTRM"", ""ELIGVER"", ""ENROLLM"", ""MILDCRG"", ""REMITADV"", ""HRESCH"", ""BIORCH"", ""CLINTRCH"", ""CLINTRCHNPC"", ""CLINTRCHPC"", ""PRECLINTRCH"", ""DSRCH"", ""POARCH"", ""TRANSRCH"", ""PATRQT"", ""FAMRQT"", ""PWATRNY"", ""SUPNWK"", ""PUBHLTH"", ""DISASTER"", ""THREAT"", ""TREAT"", ""CLINTRL"", ""COC"", ""ETREAT"", ""BTG"", ""ERTREAT"", ""POPHLTH""]}",0,Infinity,[]
agent,AuditEvent::Agent,AuditEvent.agent,,1,Infinity,[]
source,AuditEvent::Source,AuditEvent.source,,1,1,[]
entity,AuditEvent::Entity,AuditEvent.entity,,0,Infinity,[]
