id,id,Basic.id,,0,1
meta,Meta,Basic.meta,,0,1
implicitRules,uri,Basic.implicitRules,,0,1
language,code,Basic.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,Basic.text,,0,1
contained,Resource,Basic.contained,,0,Infinity
extension,Extension,Basic.extension,,0,Infinity
modifierExtension,Extension,Basic.modifierExtension,,0,Infinity
identifier,Identifier,Basic.identifier,,0,Infinity
code,CodeableConcept,Basic.code,"{""http://terminology.hl7.org/CodeSystem/basic-resource-type""=>[""consent"", ""referral"", ""advevent"", ""aptmtreq"", ""transfer"", ""diet"", ""adminact"", ""exposure"", ""investigation"", ""account"", ""invoice"", ""adjudicat"", ""predetreq"", ""predetermine"", ""study"", ""protocol""]}",1,1
subject,Reference,Basic.subject,,0,1
created,date,Basic.created,,0,1
author,Reference,Basic.author,,0,1
