id,id,ClinicalImpression.id,,0,1,[]
meta,Meta,ClinicalImpression.meta,,0,1,[]
implicitRules,uri,ClinicalImpression.implicitRules,,0,1,[]
language,code,ClinicalImpression.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,ClinicalImpression.text,,0,1,[]
contained,Resource,ClinicalImpression.contained,,0,Infinity,[]
extension,Extension,ClinicalImpression.extension,,0,Infinity,[]
modifierExtension,Extension,ClinicalImpression.modifierExtension,,0,Infinity,[]
identifier,Identifier,ClinicalImpression.identifier,,0,Infinity,[]
status,code,ClinicalImpression.status,"{""http://hl7.org/fhir/event-status""=>[""in-progress"", ""completed"", ""entered-in-error""]}",1,1,[]
statusReason,CodeableConcept,ClinicalImpression.statusReason,,0,1,[]
code,CodeableConcept,ClinicalImpression.code,,0,1,[]
description,string,ClinicalImpression.description,,0,1,[]
subject,Reference,ClinicalImpression.subject,,1,1,"[""Patient"", ""Group""]"
encounter,Reference,ClinicalImpression.encounter,,0,1,"[""Encounter""]"
effectiveDateTime,dateTime,ClinicalImpression.effective[x],,0,1,[]
effectivePeriod,Period,ClinicalImpression.effective[x],,0,1,[]
date,dateTime,ClinicalImpression.date,,0,1,[]
assessor,Reference,ClinicalImpression.assessor,,0,1,"[""Practitioner"", ""PractitionerRole""]"
previous,Reference,ClinicalImpression.previous,,0,1,"[""ClinicalImpression""]"
problem,Reference,ClinicalImpression.problem,,0,Infinity,"[""Condition"", ""AllergyIntolerance""]"
investigation,ClinicalImpression::Investigation,ClinicalImpression.investigation,,0,Infinity,[]
protocol,uri,ClinicalImpression.protocol,,0,Infinity,[]
summary,string,ClinicalImpression.summary,,0,1,[]
finding,ClinicalImpression::Finding,ClinicalImpression.finding,,0,Infinity,[]
prognosisCodeableConcept,CodeableConcept,ClinicalImpression.prognosisCodeableConcept,"{""http://snomed.info/sct""=>[""60484009"", ""65872000"", ""67334001"", ""170968001"", ""170969009"", ""170970005""]}",0,Infinity,[]
prognosisReference,Reference,ClinicalImpression.prognosisReference,,0,Infinity,"[""RiskAssessment""]"
supportingInfo,Reference,ClinicalImpression.supportingInfo,,0,Infinity,"[""Resource""]"
note,Annotation,ClinicalImpression.note,,0,Infinity,[]
