id,id,CompartmentDefinition.id,,0,1
meta,Meta,CompartmentDefinition.meta,,0,1
implicitRules,uri,CompartmentDefinition.implicitRules,,0,1
language,code,CompartmentDefinition.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,CompartmentDefinition.text,,0,1
contained,Resource,CompartmentDefinition.contained,,0,Infinity
extension,Extension,CompartmentDefinition.extension,,0,Infinity
modifierExtension,Extension,CompartmentDefinition.modifierExtension,,0,Infinity
url,uri,CompartmentDefinition.url,,1,1
version,string,CompartmentDefinition.version,,0,1
name,string,CompartmentDefinition.name,,1,1
status,code,CompartmentDefinition.status,"{""http://hl7.org/fhir/publication-status""=>[""draft"", ""active"", ""retired"", ""unknown""]}",1,1
experimental,boolean,CompartmentDefinition.experimental,,0,1
date,dateTime,CompartmentDefinition.date,,0,1
publisher,string,CompartmentDefinition.publisher,,0,1
contact,ContactDetail,CompartmentDefinition.contact,,0,Infinity
description,markdown,CompartmentDefinition.description,,0,1
useContext,UsageContext,CompartmentDefinition.useContext,,0,Infinity
purpose,markdown,CompartmentDefinition.purpose,,0,1
code,code,CompartmentDefinition.code,"{""http://hl7.org/fhir/compartment-type""=>[""Patient"", ""Encounter"", ""RelatedPerson"", ""Practitioner"", ""Device""]}",1,1
search,boolean,CompartmentDefinition.search,,1,1
resource,CompartmentDefinition::Resource,CompartmentDefinition.resource,,0,Infinity
