id,id,CoverageEligibilityResponse.id,,0,1,[]
meta,Meta,CoverageEligibilityResponse.meta,,0,1,[]
implicitRules,uri,CoverageEligibilityResponse.implicitRules,,0,1,[]
language,code,CoverageEligibilityResponse.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,CoverageEligibilityResponse.text,,0,1,[]
contained,Resource,CoverageEligibilityResponse.contained,,0,Infinity,[]
extension,Extension,CoverageEligibilityResponse.extension,,0,Infinity,[]
modifierExtension,Extension,CoverageEligibilityResponse.modifierExtension,,0,Infinity,[]
identifier,Identifier,CoverageEligibilityResponse.identifier,,0,Infinity,[]
status,code,CoverageEligibilityResponse.status,"{""http://hl7.org/fhir/fm-status""=>[""active"", ""cancelled"", ""draft"", ""entered-in-error""]}",1,1,[]
purpose,code,CoverageEligibilityResponse.purpose,"{""http://hl7.org/fhir/eligibilityresponse-purpose""=>[""auth-requirements"", ""benefits"", ""discovery"", ""validation""]}",1,Infinity,[]
patient,Reference,CoverageEligibilityResponse.patient,,1,1,"[""Patient""]"
servicedDate,date,CoverageEligibilityResponse.serviced[x],,0,1,[]
servicedPeriod,Period,CoverageEligibilityResponse.serviced[x],,0,1,[]
created,dateTime,CoverageEligibilityResponse.created,,1,1,[]
requestor,Reference,CoverageEligibilityResponse.requestor,,0,1,"[""Practitioner"", ""PractitionerRole"", ""Organization""]"
request,Reference,CoverageEligibilityResponse.request,,1,1,"[""CoverageEligibilityRequest""]"
outcome,code,CoverageEligibilityResponse.outcome,"{""http://hl7.org/fhir/remittance-outcome""=>[""queued"", ""complete"", ""error"", ""partial""]}",1,1,[]
disposition,string,CoverageEligibilityResponse.disposition,,0,1,[]
insurer,Reference,CoverageEligibilityResponse.insurer,,1,1,"[""Organization""]"
insurance,CoverageEligibilityResponse::Insurance,CoverageEligibilityResponse.insurance,,0,Infinity,[]
preAuthRef,string,CoverageEligibilityResponse.preAuthRef,,0,1,[]
form,CodeableConcept,CoverageEligibilityResponse.form,"{""http://terminology.hl7.org/CodeSystem/forms-codes""=>[""1"", ""2""]}",0,1,[]
error,CoverageEligibilityResponse::Error,CoverageEligibilityResponse.error,,0,Infinity,[]
