id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
instantiatesCanonical,canonical
instantiatesUri,uri
basedOn,Reference
priorRequest,Reference
groupIdentifier,Identifier
status,code
intent,code
priority,code
codeReference,Reference
codeCodeableConcept,CodeableConcept
parameter,DeviceRequest::Parameter
subject,Reference
encounter,Reference
occurrenceDateTime,dateTime
occurrencePeriod,Period
occurrenceTiming,Timing
authoredOn,dateTime
requester,Reference
performerType,CodeableConcept
performer,Reference
reasonCode,CodeableConcept
reasonReference,Reference
insurance,Reference
supportingInfo,Reference
note,Annotation
relevantHistory,Reference
