id,id,EffectEvidenceSynthesis.id,,0,1,[]
meta,Meta,EffectEvidenceSynthesis.meta,,0,1,[]
implicitRules,uri,EffectEvidenceSynthesis.implicitRules,,0,1,[]
language,code,EffectEvidenceSynthesis.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,EffectEvidenceSynthesis.text,,0,1,[]
contained,Resource,EffectEvidenceSynthesis.contained,,0,Infinity,[]
extension,Extension,EffectEvidenceSynthesis.extension,,0,Infinity,[]
modifierExtension,Extension,EffectEvidenceSynthesis.modifierExtension,,0,Infinity,[]
url,uri,EffectEvidenceSynthesis.url,,0,1,[]
identifier,Identifier,EffectEvidenceSynthesis.identifier,,0,Infinity,[]
version,string,EffectEvidenceSynthesis.version,,0,1,[]
name,string,EffectEvidenceSynthesis.name,,0,1,[]
title,string,EffectEvidenceSynthesis.title,,0,1,[]
status,code,EffectEvidenceSynthesis.status,"{""http://hl7.org/fhir/publication-status""=>[""draft"", ""active"", ""retired"", ""unknown""]}",1,1,[]
date,dateTime,EffectEvidenceSynthesis.date,,0,1,[]
publisher,string,EffectEvidenceSynthesis.publisher,,0,1,[]
contact,ContactDetail,EffectEvidenceSynthesis.contact,,0,Infinity,[]
description,markdown,EffectEvidenceSynthesis.description,,0,1,[]
note,Annotation,EffectEvidenceSynthesis.note,,0,Infinity,[]
useContext,UsageContext,EffectEvidenceSynthesis.useContext,,0,Infinity,[]
jurisdiction,CodeableConcept,EffectEvidenceSynthesis.jurisdiction,,0,Infinity,[]
copyright,markdown,EffectEvidenceSynthesis.copyright,,0,1,[]
approvalDate,date,EffectEvidenceSynthesis.approvalDate,,0,1,[]
lastReviewDate,date,EffectEvidenceSynthesis.lastReviewDate,,0,1,[]
effectivePeriod,Period,EffectEvidenceSynthesis.effectivePeriod,,0,1,[]
topic,CodeableConcept,EffectEvidenceSynthesis.topic,"{""http://terminology.hl7.org/CodeSystem/definition-topic""=>[""treatment"", ""education"", ""assessment""]}",0,Infinity,[]
author,ContactDetail,EffectEvidenceSynthesis.author,,0,Infinity,[]
editor,ContactDetail,EffectEvidenceSynthesis.editor,,0,Infinity,[]
reviewer,ContactDetail,EffectEvidenceSynthesis.reviewer,,0,Infinity,[]
endorser,ContactDetail,EffectEvidenceSynthesis.endorser,,0,Infinity,[]
relatedArtifact,RelatedArtifact,EffectEvidenceSynthesis.relatedArtifact,,0,Infinity,[]
synthesisType,CodeableConcept,EffectEvidenceSynthesis.synthesisType,"{""http://terminology.hl7.org/CodeSystem/synthesis-type""=>[""std-MA"", ""IPD-MA"", ""indirect-NMA"", ""combined-NMA"", ""range"", ""classification""]}",0,1,[]
studyType,CodeableConcept,EffectEvidenceSynthesis.studyType,"{""http://terminology.hl7.org/CodeSystem/study-type""=>[""RCT"", ""CCT"", ""cohort"", ""case-control"", ""series"", ""case-report"", ""mixed""]}",0,1,[]
population,Reference,EffectEvidenceSynthesis.population,,1,1,"[""EvidenceVariable""]"
exposure,Reference,EffectEvidenceSynthesis.exposure,,1,1,"[""EvidenceVariable""]"
exposureAlternative,Reference,EffectEvidenceSynthesis.exposureAlternative,,1,1,"[""EvidenceVariable""]"
outcome,Reference,EffectEvidenceSynthesis.outcome,,1,1,"[""EvidenceVariable""]"
sampleSize,EffectEvidenceSynthesis::SampleSize,EffectEvidenceSynthesis.sampleSize,,0,1,[]
resultsByExposure,EffectEvidenceSynthesis::ResultsByExposure,EffectEvidenceSynthesis.resultsByExposure,,0,Infinity,[]
effectEstimate,EffectEvidenceSynthesis::EffectEstimate,EffectEvidenceSynthesis.effectEstimate,,0,Infinity,[]
certainty,EffectEvidenceSynthesis::Certainty,EffectEvidenceSynthesis.certainty,,0,Infinity,[]
