id,id,EvidenceVariable.id,,0,1
meta,Meta,EvidenceVariable.meta,,0,1
implicitRules,uri,EvidenceVariable.implicitRules,,0,1
language,code,EvidenceVariable.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,EvidenceVariable.text,,0,1
contained,Resource,EvidenceVariable.contained,,0,Infinity
extension,Extension,EvidenceVariable.extension,,0,Infinity
modifierExtension,Extension,EvidenceVariable.modifierExtension,,0,Infinity
url,uri,EvidenceVariable.url,,0,1
identifier,Identifier,EvidenceVariable.identifier,,0,Infinity
version,string,EvidenceVariable.version,,0,1
name,string,EvidenceVariable.name,,0,1
title,string,EvidenceVariable.title,,0,1
shortTitle,string,EvidenceVariable.shortTitle,,0,1
subtitle,string,EvidenceVariable.subtitle,,0,1
status,code,EvidenceVariable.status,"{""http://hl7.org/fhir/publication-status""=>[""draft"", ""active"", ""retired"", ""unknown""]}",1,1
date,dateTime,EvidenceVariable.date,,0,1
publisher,string,EvidenceVariable.publisher,,0,1
contact,ContactDetail,EvidenceVariable.contact,,0,Infinity
description,markdown,EvidenceVariable.description,,0,1
note,Annotation,EvidenceVariable.note,,0,Infinity
useContext,UsageContext,EvidenceVariable.useContext,,0,Infinity
jurisdiction,CodeableConcept,EvidenceVariable.jurisdiction,,0,Infinity
copyright,markdown,EvidenceVariable.copyright,,0,1
approvalDate,date,EvidenceVariable.approvalDate,,0,1
lastReviewDate,date,EvidenceVariable.lastReviewDate,,0,1
effectivePeriod,Period,EvidenceVariable.effectivePeriod,,0,1
topic,CodeableConcept,EvidenceVariable.topic,"{""http://terminology.hl7.org/CodeSystem/definition-topic""=>[""treatment"", ""education"", ""assessment""]}",0,Infinity
author,ContactDetail,EvidenceVariable.author,,0,Infinity
editor,ContactDetail,EvidenceVariable.editor,,0,Infinity
reviewer,ContactDetail,EvidenceVariable.reviewer,,0,Infinity
endorser,ContactDetail,EvidenceVariable.endorser,,0,Infinity
relatedArtifact,RelatedArtifact,EvidenceVariable.relatedArtifact,,0,Infinity
type,code,EvidenceVariable.type,"{""http://hl7.org/fhir/variable-type""=>[""dichotomous"", ""continuous"", ""descriptive""]}",0,1
characteristic,EvidenceVariable::Characteristic,EvidenceVariable.characteristic,,1,Infinity
