id,id,GraphDefinition.id,,0,1,[]
meta,Meta,GraphDefinition.meta,,0,1,[]
implicitRules,uri,GraphDefinition.implicitRules,,0,1,[]
language,code,GraphDefinition.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,GraphDefinition.text,,0,1,[]
contained,Resource,GraphDefinition.contained,,0,Infinity,[]
extension,Extension,GraphDefinition.extension,,0,Infinity,[]
modifierExtension,Extension,GraphDefinition.modifierExtension,,0,Infinity,[]
url,uri,GraphDefinition.url,,0,1,[]
version,string,GraphDefinition.version,,0,1,[]
name,string,GraphDefinition.name,,1,1,[]
status,code,GraphDefinition.status,"{""http://hl7.org/fhir/publication-status""=>[""draft"", ""active"", ""retired"", ""unknown""]}",1,1,[]
experimental,boolean,GraphDefinition.experimental,,0,1,[]
date,dateTime,GraphDefinition.date,,0,1,[]
publisher,string,GraphDefinition.publisher,,0,1,[]
contact,ContactDetail,GraphDefinition.contact,,0,Infinity,[]
description,markdown,GraphDefinition.description,,0,1,[]
useContext,UsageContext,GraphDefinition.useContext,,0,Infinity,[]
jurisdiction,CodeableConcept,GraphDefinition.jurisdiction,,0,Infinity,[]
purpose,markdown,GraphDefinition.purpose,,0,1,[]
start,code,GraphDefinition.start,"{""http://hl7.org/fhir/resource-types""=>[""Account"", ""ActivityDefinition"", ""AdverseEvent"", ""AllergyIntolerance"", ""Appointment"", ""AppointmentResponse"", ""AuditEvent"", ""Basic"", ""Binary"", ""BiologicallyDerivedProduct"", ""BodyStructure"", ""Bundle"", ""CapabilityStatement"", ""CarePlan"", ""CareTeam"", ""CatalogEntry"", ""ChargeItem"", ""ChargeItemDefinition"", ""Claim"", ""ClaimResponse"", ""ClinicalImpression"", ""CodeSystem"", ""Communication"", ""CommunicationRequest"", ""CompartmentDefinition"", ""Composition"", ""ConceptMap"", ""Condition"", ""Consent"", ""Contract"", ""Coverage"", ""CoverageEligibilityRequest"", ""CoverageEligibilityResponse"", ""DetectedIssue"", ""Device"", ""DeviceDefinition"", ""DeviceMetric"", ""DeviceRequest"", ""DeviceUseStatement"", ""DiagnosticReport"", ""DocumentManifest"", ""DocumentReference"", ""DomainResource"", ""EffectEvidenceSynthesis"", ""Encounter"", ""Endpoint"", ""EnrollmentRequest"", ""EnrollmentResponse"", ""EpisodeOfCare"", ""EventDefinition"", ""Evidence"", ""EvidenceVariable"", ""ExampleScenario"", ""ExplanationOfBenefit"", ""FamilyMemberHistory"", ""Flag"", ""Goal"", ""GraphDefinition"", ""Group"", ""GuidanceResponse"", ""HealthcareService"", ""ImagingStudy"", ""Immunization"", ""ImmunizationEvaluation"", ""ImmunizationRecommendation"", ""ImplementationGuide"", ""InsurancePlan"", ""Invoice"", ""Library"", ""Linkage"", ""List"", ""Location"", ""Measure"", ""MeasureReport"", ""Media"", ""Medication"", ""MedicationAdministration"", ""MedicationDispense"", ""MedicationKnowledge"", ""MedicationRequest"", ""MedicationStatement"", ""MedicinalProduct"", ""MedicinalProductAuthorization"", ""MedicinalProductContraindication"", ""MedicinalProductIndication"", ""MedicinalProductIngredient"", ""MedicinalProductInteraction"", ""MedicinalProductManufactured"", ""MedicinalProductPackaged"", ""MedicinalProductPharmaceutical"", ""MedicinalProductUndesirableEffect"", ""MessageDefinition"", ""MessageHeader"", ""MolecularSequence"", ""NamingSystem"", ""NutritionOrder"", ""Observation"", ""ObservationDefinition"", ""OperationDefinition"", ""OperationOutcome"", ""Organization"", ""OrganizationAffiliation"", ""Parameters"", ""Patient"", ""PaymentNotice"", ""PaymentReconciliation"", ""Person"", ""PlanDefinition"", ""Practitioner"", ""PractitionerRole"", ""Procedure"", ""Provenance"", ""Questionnaire"", ""QuestionnaireResponse"", ""RelatedPerson"", ""RequestGroup"", ""ResearchDefinition"", ""ResearchElementDefinition"", ""ResearchStudy"", ""ResearchSubject"", ""Resource"", ""RiskAssessment"", ""RiskEvidenceSynthesis"", ""Schedule"", ""SearchParameter"", ""ServiceRequest"", ""Slot"", ""Specimen"", ""SpecimenDefinition"", ""StructureDefinition"", ""StructureMap"", ""Subscription"", ""Substance"", ""SubstanceNucleicAcid"", ""SubstancePolymer"", ""SubstanceProtein"", ""SubstanceReferenceInformation"", ""SubstanceSourceMaterial"", ""SubstanceSpecification"", ""SupplyDelivery"", ""SupplyRequest"", ""Task"", ""TerminologyCapabilities"", ""TestReport"", ""TestScript"", ""ValueSet"", ""VerificationResult"", ""VisionPrescription""]}",1,1,[]
profile,canonical,GraphDefinition.profile,,0,1,[]
link,GraphDefinition::Link,GraphDefinition.link,,0,Infinity,[]
