id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
status,code
statusReason,CodeableConcept
vaccineCode,CodeableConcept
patient,Reference
encounter,Reference
occurrenceDateTime,dateTime
occurrenceString,string
recorded,dateTime
primarySource,boolean
reportOrigin,CodeableConcept
location,Reference
manufacturer,Reference
lotNumber,string
expirationDate,date
site,CodeableConcept
route,CodeableConcept
doseQuantity,Quantity
performer,Immunization::Performer
note,Annotation
reasonCode,CodeableConcept
reasonReference,Reference
isSubpotent,boolean
subpotentReason,CodeableConcept
education,Immunization::Education
programEligibility,CodeableConcept
fundingSource,CodeableConcept
reaction,Immunization::Reaction
protocolApplied,Immunization::ProtocolApplied
