id,id,MeasureReport.id,,0,1
meta,Meta,MeasureReport.meta,,0,1
implicitRules,uri,MeasureReport.implicitRules,,0,1
language,code,MeasureReport.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,MeasureReport.text,,0,1
contained,Resource,MeasureReport.contained,,0,Infinity
extension,Extension,MeasureReport.extension,,0,Infinity
modifierExtension,Extension,MeasureReport.modifierExtension,,0,Infinity
identifier,Identifier,MeasureReport.identifier,,0,Infinity
status,code,MeasureReport.status,"{""http://hl7.org/fhir/measure-report-status""=>[""complete"", ""pending"", ""error""]}",1,1
type,code,MeasureReport.type,"{""http://hl7.org/fhir/measure-report-type""=>[""individual"", ""subject-list"", ""summary"", ""data-collection""]}",1,1
measure,canonical,MeasureReport.measure,,1,1
subject,Reference,MeasureReport.subject,,0,1
date,dateTime,MeasureReport.date,,0,1
reporter,Reference,MeasureReport.reporter,,0,1
period,Period,MeasureReport.period,,1,1
improvementNotation,CodeableConcept,MeasureReport.improvementNotation,"{""http://terminology.hl7.org/CodeSystem/measure-improvement-notation""=>[""increase"", ""decrease""]}",0,1
group,MeasureReport::Group,MeasureReport.group,,0,Infinity
evaluatedResource,Reference,MeasureReport.evaluatedResource,,0,Infinity
