id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
status,code
statusReason,CodeableConcept
intent,code
category,CodeableConcept
priority,code
doNotPerform,boolean
reportedBoolean,boolean
reportedReference,Reference
medicationCodeableConcept,CodeableConcept
medicationReference,Reference
subject,Reference
encounter,Reference
supportingInformation,Reference
authoredOn,dateTime
requester,Reference
performer,Reference
performerType,CodeableConcept
recorder,Reference
reasonCode,CodeableConcept
reasonReference,Reference
instantiatesCanonical,canonical
instantiatesUri,uri
basedOn,Reference
groupIdentifier,Identifier
courseOfTherapyType,CodeableConcept
insurance,Reference
note,Annotation
dosageInstruction,Dosage
dispenseRequest,MedicationRequest::DispenseRequest
substitution,MedicationRequest::Substitution
priorPrescription,Reference
detectedIssue,Reference
eventHistory,Reference
