id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
basedOn,Reference
partOf,Reference
status,code
statusReason,CodeableConcept
category,CodeableConcept
medicationCodeableConcept,CodeableConcept
medicationReference,Reference
subject,Reference
context,Reference
effectiveDateTime,dateTime
effectivePeriod,Period
dateAsserted,dateTime
informationSource,Reference
derivedFrom,Reference
reasonCode,CodeableConcept
reasonReference,Reference
note,Annotation
dosage,Dosage
