id,id,MedicinalProductInteraction.id,,0,1
meta,Meta,MedicinalProductInteraction.meta,,0,1
implicitRules,uri,MedicinalProductInteraction.implicitRules,,0,1
language,code,MedicinalProductInteraction.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,MedicinalProductInteraction.text,,0,1
contained,Resource,MedicinalProductInteraction.contained,,0,Infinity
extension,Extension,MedicinalProductInteraction.extension,,0,Infinity
modifierExtension,Extension,MedicinalProductInteraction.modifierExtension,,0,Infinity
subject,Reference,MedicinalProductInteraction.subject,,0,Infinity
description,string,MedicinalProductInteraction.description,,0,1
interactant,MedicinalProductInteraction::Interactant,MedicinalProductInteraction.interactant,,0,Infinity
type,CodeableConcept,MedicinalProductInteraction.type,,0,1
effect,CodeableConcept,MedicinalProductInteraction.effect,,0,1
incidence,CodeableConcept,MedicinalProductInteraction.incidence,,0,1
management,CodeableConcept,MedicinalProductInteraction.management,,0,1
