id,id,MedicinalProductManufactured.id,,0,1,[]
meta,Meta,MedicinalProductManufactured.meta,,0,1,[]
implicitRules,uri,MedicinalProductManufactured.implicitRules,,0,1,[]
language,code,MedicinalProductManufactured.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,MedicinalProductManufactured.text,,0,1,[]
contained,Resource,MedicinalProductManufactured.contained,,0,Infinity,[]
extension,Extension,MedicinalProductManufactured.extension,,0,Infinity,[]
modifierExtension,Extension,MedicinalProductManufactured.modifierExtension,,0,Infinity,[]
manufacturedDoseForm,CodeableConcept,MedicinalProductManufactured.manufacturedDoseForm,,1,1,[]
unitOfPresentation,CodeableConcept,MedicinalProductManufactured.unitOfPresentation,,0,1,[]
quantity,Quantity,MedicinalProductManufactured.quantity,,1,1,[]
manufacturer,Reference,MedicinalProductManufactured.manufacturer,,0,Infinity,"[""Organization""]"
ingredient,Reference,MedicinalProductManufactured.ingredient,,0,Infinity,"[""MedicinalProductIngredient""]"
physicalCharacteristics,ProdCharacteristic,MedicinalProductManufactured.physicalCharacteristics,,0,1,[]
otherCharacteristics,CodeableConcept,MedicinalProductManufactured.otherCharacteristics,,0,Infinity,[]
