id,id,MedicinalProductUndesirableEffect.id,,0,1
meta,Meta,MedicinalProductUndesirableEffect.meta,,0,1
implicitRules,uri,MedicinalProductUndesirableEffect.implicitRules,,0,1
language,code,MedicinalProductUndesirableEffect.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,MedicinalProductUndesirableEffect.text,,0,1
contained,Resource,MedicinalProductUndesirableEffect.contained,,0,Infinity
extension,Extension,MedicinalProductUndesirableEffect.extension,,0,Infinity
modifierExtension,Extension,MedicinalProductUndesirableEffect.modifierExtension,,0,Infinity
subject,Reference,MedicinalProductUndesirableEffect.subject,,0,Infinity
symptomConditionEffect,CodeableConcept,MedicinalProductUndesirableEffect.symptomConditionEffect,,0,1
classification,CodeableConcept,MedicinalProductUndesirableEffect.classification,,0,1
frequencyOfOccurrence,CodeableConcept,MedicinalProductUndesirableEffect.frequencyOfOccurrence,,0,1
population,Population,MedicinalProductUndesirableEffect.population,,0,Infinity
