id,id,MolecularSequence.id,,0,1
meta,Meta,MolecularSequence.meta,,0,1
implicitRules,uri,MolecularSequence.implicitRules,,0,1
language,code,MolecularSequence.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,MolecularSequence.text,,0,1
contained,Resource,MolecularSequence.contained,,0,Infinity
extension,Extension,MolecularSequence.extension,,0,Infinity
modifierExtension,Extension,MolecularSequence.modifierExtension,,0,Infinity
identifier,Identifier,MolecularSequence.identifier,,0,Infinity
type,code,MolecularSequence.type,"{""http://hl7.org/fhir/sequence-type""=>[""aa"", ""dna"", ""rna""]}",0,1
coordinateSystem,integer,MolecularSequence.coordinateSystem,,1,1
patient,Reference,MolecularSequence.patient,,0,1
specimen,Reference,MolecularSequence.specimen,,0,1
device,Reference,MolecularSequence.device,,0,1
performer,Reference,MolecularSequence.performer,,0,1
quantity,Quantity,MolecularSequence.quantity,,0,1
referenceSeq,MolecularSequence::ReferenceSeq,MolecularSequence.referenceSeq,,0,1
variant,MolecularSequence::Variant,MolecularSequence.variant,,0,Infinity
observedSeq,string,MolecularSequence.observedSeq,,0,1
quality,MolecularSequence::Quality,MolecularSequence.quality,,0,Infinity
readCoverage,integer,MolecularSequence.readCoverage,,0,1
repository,MolecularSequence::Repository,MolecularSequence.repository,,0,Infinity
pointer,Reference,MolecularSequence.pointer,,0,Infinity
structureVariant,MolecularSequence::StructureVariant,MolecularSequence.structureVariant,,0,Infinity
