id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
url,uri
version,string
name,string
title,string
status,code
kind,code
experimental,boolean
date,dateTime
publisher,string
contact,ContactDetail
description,markdown
useContext,UsageContext
jurisdiction,CodeableConcept
purpose,markdown
affectsState,boolean
code,code
comment,markdown
base,canonical
resource,code
system,boolean
type,boolean
instance,boolean
inputProfile,canonical
outputProfile,canonical
parameter,OperationDefinition::Parameter
overload,OperationDefinition::Overload
