id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
url,uri
identifier,Identifier
version,string
name,string
title,string
derivedFrom,canonical
status,code
experimental,boolean
subjectType,code
date,dateTime
publisher,string
contact,ContactDetail
description,markdown
useContext,UsageContext
jurisdiction,CodeableConcept
purpose,markdown
copyright,markdown
approvalDate,date
lastReviewDate,date
effectivePeriod,Period
code,Coding
item,Questionnaire::Item
