id,id,ResearchElementDefinition.id,,0,1
meta,Meta,ResearchElementDefinition.meta,,0,1
implicitRules,uri,ResearchElementDefinition.implicitRules,,0,1
language,code,ResearchElementDefinition.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,ResearchElementDefinition.text,,0,1
contained,Resource,ResearchElementDefinition.contained,,0,Infinity
extension,Extension,ResearchElementDefinition.extension,,0,Infinity
modifierExtension,Extension,ResearchElementDefinition.modifierExtension,,0,Infinity
url,uri,ResearchElementDefinition.url,,0,1
identifier,Identifier,ResearchElementDefinition.identifier,,0,Infinity
version,string,ResearchElementDefinition.version,,0,1
name,string,ResearchElementDefinition.name,,0,1
title,string,ResearchElementDefinition.title,,0,1
shortTitle,string,ResearchElementDefinition.shortTitle,,0,1
subtitle,string,ResearchElementDefinition.subtitle,,0,1
status,code,ResearchElementDefinition.status,"{""http://hl7.org/fhir/publication-status""=>[""draft"", ""active"", ""retired"", ""unknown""]}",1,1
experimental,boolean,ResearchElementDefinition.experimental,,0,1
subjectCodeableConcept,CodeableConcept,ResearchElementDefinition.subject[x],"{""http://hl7.org/fhir/resource-types""=>[""Patient"", ""Practitioner"", ""Organization"", ""Location"", ""Device""]}",0,1
subjectReference,Reference,ResearchElementDefinition.subject[x],,0,1
date,dateTime,ResearchElementDefinition.date,,0,1
publisher,string,ResearchElementDefinition.publisher,,0,1
contact,ContactDetail,ResearchElementDefinition.contact,,0,Infinity
description,markdown,ResearchElementDefinition.description,,0,1
comment,string,ResearchElementDefinition.comment,,0,Infinity
useContext,UsageContext,ResearchElementDefinition.useContext,,0,Infinity
jurisdiction,CodeableConcept,ResearchElementDefinition.jurisdiction,,0,Infinity
purpose,markdown,ResearchElementDefinition.purpose,,0,1
usage,string,ResearchElementDefinition.usage,,0,1
copyright,markdown,ResearchElementDefinition.copyright,,0,1
approvalDate,date,ResearchElementDefinition.approvalDate,,0,1
lastReviewDate,date,ResearchElementDefinition.lastReviewDate,,0,1
effectivePeriod,Period,ResearchElementDefinition.effectivePeriod,,0,1
topic,CodeableConcept,ResearchElementDefinition.topic,"{""http://terminology.hl7.org/CodeSystem/definition-topic""=>[""treatment"", ""education"", ""assessment""]}",0,Infinity
author,ContactDetail,ResearchElementDefinition.author,,0,Infinity
editor,ContactDetail,ResearchElementDefinition.editor,,0,Infinity
reviewer,ContactDetail,ResearchElementDefinition.reviewer,,0,Infinity
endorser,ContactDetail,ResearchElementDefinition.endorser,,0,Infinity
relatedArtifact,RelatedArtifact,ResearchElementDefinition.relatedArtifact,,0,Infinity
library,canonical,ResearchElementDefinition.library,,0,Infinity
type,code,ResearchElementDefinition.type,"{""http://hl7.org/fhir/research-element-type""=>[""population"", ""exposure"", ""outcome""]}",1,1
variableType,code,ResearchElementDefinition.variableType,"{""http://hl7.org/fhir/variable-type""=>[""dichotomous"", ""continuous"", ""descriptive""]}",0,1
characteristic,ResearchElementDefinition::Characteristic,ResearchElementDefinition.characteristic,,1,Infinity
