id,id,RiskEvidenceSynthesis.id,,0,1
meta,Meta,RiskEvidenceSynthesis.meta,,0,1
implicitRules,uri,RiskEvidenceSynthesis.implicitRules,,0,1
language,code,RiskEvidenceSynthesis.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,RiskEvidenceSynthesis.text,,0,1
contained,Resource,RiskEvidenceSynthesis.contained,,0,Infinity
extension,Extension,RiskEvidenceSynthesis.extension,,0,Infinity
modifierExtension,Extension,RiskEvidenceSynthesis.modifierExtension,,0,Infinity
url,uri,RiskEvidenceSynthesis.url,,0,1
identifier,Identifier,RiskEvidenceSynthesis.identifier,,0,Infinity
version,string,RiskEvidenceSynthesis.version,,0,1
name,string,RiskEvidenceSynthesis.name,,0,1
title,string,RiskEvidenceSynthesis.title,,0,1
status,code,RiskEvidenceSynthesis.status,"{""http://hl7.org/fhir/publication-status""=>[""draft"", ""active"", ""retired"", ""unknown""]}",1,1
date,dateTime,RiskEvidenceSynthesis.date,,0,1
publisher,string,RiskEvidenceSynthesis.publisher,,0,1
contact,ContactDetail,RiskEvidenceSynthesis.contact,,0,Infinity
description,markdown,RiskEvidenceSynthesis.description,,0,1
note,Annotation,RiskEvidenceSynthesis.note,,0,Infinity
useContext,UsageContext,RiskEvidenceSynthesis.useContext,,0,Infinity
jurisdiction,CodeableConcept,RiskEvidenceSynthesis.jurisdiction,,0,Infinity
copyright,markdown,RiskEvidenceSynthesis.copyright,,0,1
approvalDate,date,RiskEvidenceSynthesis.approvalDate,,0,1
lastReviewDate,date,RiskEvidenceSynthesis.lastReviewDate,,0,1
effectivePeriod,Period,RiskEvidenceSynthesis.effectivePeriod,,0,1
topic,CodeableConcept,RiskEvidenceSynthesis.topic,"{""http://terminology.hl7.org/CodeSystem/definition-topic""=>[""treatment"", ""education"", ""assessment""]}",0,Infinity
author,ContactDetail,RiskEvidenceSynthesis.author,,0,Infinity
editor,ContactDetail,RiskEvidenceSynthesis.editor,,0,Infinity
reviewer,ContactDetail,RiskEvidenceSynthesis.reviewer,,0,Infinity
endorser,ContactDetail,RiskEvidenceSynthesis.endorser,,0,Infinity
relatedArtifact,RelatedArtifact,RiskEvidenceSynthesis.relatedArtifact,,0,Infinity
synthesisType,CodeableConcept,RiskEvidenceSynthesis.synthesisType,"{""http://terminology.hl7.org/CodeSystem/synthesis-type""=>[""std-MA"", ""IPD-MA"", ""indirect-NMA"", ""combined-NMA"", ""range"", ""classification""]}",0,1
studyType,CodeableConcept,RiskEvidenceSynthesis.studyType,"{""http://terminology.hl7.org/CodeSystem/study-type""=>[""RCT"", ""CCT"", ""cohort"", ""case-control"", ""series"", ""case-report"", ""mixed""]}",0,1
population,Reference,RiskEvidenceSynthesis.population,,1,1
exposure,Reference,RiskEvidenceSynthesis.exposure,,0,1
outcome,Reference,RiskEvidenceSynthesis.outcome,,1,1
sampleSize,RiskEvidenceSynthesis::SampleSize,RiskEvidenceSynthesis.sampleSize,,0,1
riskEstimate,RiskEvidenceSynthesis::RiskEstimate,RiskEvidenceSynthesis.riskEstimate,,0,1
certainty,RiskEvidenceSynthesis::Certainty,RiskEvidenceSynthesis.certainty,,0,Infinity
