id,id,SearchParameter.id,,0,1
meta,Meta,SearchParameter.meta,,0,1
implicitRules,uri,SearchParameter.implicitRules,,0,1
language,code,SearchParameter.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,SearchParameter.text,,0,1
contained,Resource,SearchParameter.contained,,0,Infinity
extension,Extension,SearchParameter.extension,,0,Infinity
modifierExtension,Extension,SearchParameter.modifierExtension,,0,Infinity
url,uri,SearchParameter.url,,1,1
version,string,SearchParameter.version,,0,1
name,string,SearchParameter.name,,1,1
derivedFrom,canonical,SearchParameter.derivedFrom,,0,1
status,code,SearchParameter.status,"{""http://hl7.org/fhir/publication-status""=>[""draft"", ""active"", ""retired"", ""unknown""]}",1,1
experimental,boolean,SearchParameter.experimental,,0,1
date,dateTime,SearchParameter.date,,0,1
publisher,string,SearchParameter.publisher,,0,1
contact,ContactDetail,SearchParameter.contact,,0,Infinity
description,markdown,SearchParameter.description,,1,1
useContext,UsageContext,SearchParameter.useContext,,0,Infinity
jurisdiction,CodeableConcept,SearchParameter.jurisdiction,,0,Infinity
purpose,markdown,SearchParameter.purpose,,0,1
code,code,SearchParameter.code,,1,1
base,code,SearchParameter.base,"{""http://hl7.org/fhir/resource-types""=>[""Account"", ""ActivityDefinition"", ""AdverseEvent"", ""AllergyIntolerance"", ""Appointment"", ""AppointmentResponse"", ""AuditEvent"", ""Basic"", ""Binary"", ""BiologicallyDerivedProduct"", ""BodyStructure"", ""Bundle"", ""CapabilityStatement"", ""CarePlan"", ""CareTeam"", ""CatalogEntry"", ""ChargeItem"", ""ChargeItemDefinition"", ""Claim"", ""ClaimResponse"", ""ClinicalImpression"", ""CodeSystem"", ""Communication"", ""CommunicationRequest"", ""CompartmentDefinition"", ""Composition"", ""ConceptMap"", ""Condition"", ""Consent"", ""Contract"", ""Coverage"", ""CoverageEligibilityRequest"", ""CoverageEligibilityResponse"", ""DetectedIssue"", ""Device"", ""DeviceDefinition"", ""DeviceMetric"", ""DeviceRequest"", ""DeviceUseStatement"", ""DiagnosticReport"", ""DocumentManifest"", ""DocumentReference"", ""DomainResource"", ""EffectEvidenceSynthesis"", ""Encounter"", ""Endpoint"", ""EnrollmentRequest"", ""EnrollmentResponse"", ""EpisodeOfCare"", ""EventDefinition"", ""Evidence"", ""EvidenceVariable"", ""ExampleScenario"", ""ExplanationOfBenefit"", ""FamilyMemberHistory"", ""Flag"", ""Goal"", ""GraphDefinition"", ""Group"", ""GuidanceResponse"", ""HealthcareService"", ""ImagingStudy"", ""Immunization"", ""ImmunizationEvaluation"", ""ImmunizationRecommendation"", ""ImplementationGuide"", ""InsurancePlan"", ""Invoice"", ""Library"", ""Linkage"", ""List"", ""Location"", ""Measure"", ""MeasureReport"", ""Media"", ""Medication"", ""MedicationAdministration"", ""MedicationDispense"", ""MedicationKnowledge"", ""MedicationRequest"", ""MedicationStatement"", ""MedicinalProduct"", ""MedicinalProductAuthorization"", ""MedicinalProductContraindication"", ""MedicinalProductIndication"", ""MedicinalProductIngredient"", ""MedicinalProductInteraction"", ""MedicinalProductManufactured"", ""MedicinalProductPackaged"", ""MedicinalProductPharmaceutical"", ""MedicinalProductUndesirableEffect"", ""MessageDefinition"", ""MessageHeader"", ""MolecularSequence"", ""NamingSystem"", ""NutritionOrder"", ""Observation"", ""ObservationDefinition"", ""OperationDefinition"", ""OperationOutcome"", ""Organization"", ""OrganizationAffiliation"", ""Parameters"", ""Patient"", ""PaymentNotice"", ""PaymentReconciliation"", ""Person"", ""PlanDefinition"", ""Practitioner"", ""PractitionerRole"", ""Procedure"", ""Provenance"", ""Questionnaire"", ""QuestionnaireResponse"", ""RelatedPerson"", ""RequestGroup"", ""ResearchDefinition"", ""ResearchElementDefinition"", ""ResearchStudy"", ""ResearchSubject"", ""Resource"", ""RiskAssessment"", ""RiskEvidenceSynthesis"", ""Schedule"", ""SearchParameter"", ""ServiceRequest"", ""Slot"", ""Specimen"", ""SpecimenDefinition"", ""StructureDefinition"", ""StructureMap"", ""Subscription"", ""Substance"", ""SubstanceNucleicAcid"", ""SubstancePolymer"", ""SubstanceProtein"", ""SubstanceReferenceInformation"", ""SubstanceSourceMaterial"", ""SubstanceSpecification"", ""SupplyDelivery"", ""SupplyRequest"", ""Task"", ""TerminologyCapabilities"", ""TestReport"", ""TestScript"", ""ValueSet"", ""VerificationResult"", ""VisionPrescription""]}",1,Infinity
type,code,SearchParameter.type,"{""http://hl7.org/fhir/search-param-type""=>[""number"", ""date"", ""string"", ""token"", ""reference"", ""composite"", ""quantity"", ""uri"", ""special""]}",1,1
expression,string,SearchParameter.expression,,0,1
xpath,string,SearchParameter.xpath,,0,1
xpathUsage,code,SearchParameter.xpathUsage,"{""http://hl7.org/fhir/search-xpath-usage""=>[""normal"", ""phonetic"", ""nearby"", ""distance"", ""other""]}",0,1
