id,id,StructureMap.id,,0,1
meta,Meta,StructureMap.meta,,0,1
implicitRules,uri,StructureMap.implicitRules,,0,1
language,code,StructureMap.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,StructureMap.text,,0,1
contained,Resource,StructureMap.contained,,0,Infinity
extension,Extension,StructureMap.extension,,0,Infinity
modifierExtension,Extension,StructureMap.modifierExtension,,0,Infinity
url,uri,StructureMap.url,,1,1
identifier,Identifier,StructureMap.identifier,,0,Infinity
version,string,StructureMap.version,,0,1
name,string,StructureMap.name,,1,1
title,string,StructureMap.title,,0,1
status,code,StructureMap.status,"{""http://hl7.org/fhir/publication-status""=>[""draft"", ""active"", ""retired"", ""unknown""]}",1,1
experimental,boolean,StructureMap.experimental,,0,1
date,dateTime,StructureMap.date,,0,1
publisher,string,StructureMap.publisher,,0,1
contact,ContactDetail,StructureMap.contact,,0,Infinity
description,markdown,StructureMap.description,,0,1
useContext,UsageContext,StructureMap.useContext,,0,Infinity
jurisdiction,CodeableConcept,StructureMap.jurisdiction,,0,Infinity
purpose,markdown,StructureMap.purpose,,0,1
copyright,markdown,StructureMap.copyright,,0,1
structure,StructureMap::Structure,StructureMap.structure,,0,Infinity
import,canonical,StructureMap.import,,0,Infinity
group,StructureMap::Group,StructureMap.group,,1,Infinity
