id,id,SupplyDelivery.id,,0,1,[]
meta,Meta,SupplyDelivery.meta,,0,1,[]
implicitRules,uri,SupplyDelivery.implicitRules,,0,1,[]
language,code,SupplyDelivery.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,SupplyDelivery.text,,0,1,[]
contained,Resource,SupplyDelivery.contained,,0,Infinity,[]
extension,Extension,SupplyDelivery.extension,,0,Infinity,[]
modifierExtension,Extension,SupplyDelivery.modifierExtension,,0,Infinity,[]
identifier,Identifier,SupplyDelivery.identifier,,0,Infinity,[]
basedOn,Reference,SupplyDelivery.basedOn,,0,Infinity,"[""SupplyRequest""]"
partOf,Reference,SupplyDelivery.partOf,,0,Infinity,"[""SupplyDelivery"", ""Contract""]"
status,code,SupplyDelivery.status,"{""http://hl7.org/fhir/supplydelivery-status""=>[""in-progress"", ""completed"", ""abandoned"", ""entered-in-error""]}",0,1,[]
patient,Reference,SupplyDelivery.patient,,0,1,"[""Patient""]"
type,CodeableConcept,SupplyDelivery.type,"{""http://terminology.hl7.org/CodeSystem/supply-item-type""=>[""medication"", ""device""]}",0,1,[]
suppliedItem,SupplyDelivery::SuppliedItem,SupplyDelivery.suppliedItem,,0,1,[]
occurrenceDateTime,dateTime,SupplyDelivery.occurrence[x],,0,1,[]
occurrencePeriod,Period,SupplyDelivery.occurrence[x],,0,1,[]
occurrenceTiming,Timing,SupplyDelivery.occurrence[x],,0,1,[]
supplier,Reference,SupplyDelivery.supplier,,0,1,"[""Practitioner"", ""PractitionerRole"", ""Organization""]"
destination,Reference,SupplyDelivery.destination,,0,1,"[""Location""]"
receiver,Reference,SupplyDelivery.receiver,,0,Infinity,"[""Practitioner"", ""PractitionerRole""]"
