id,id,Task.id,,0,1
meta,Meta,Task.meta,,0,1
implicitRules,uri,Task.implicitRules,,0,1
language,code,Task.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1
text,Narrative,Task.text,,0,1
contained,Resource,Task.contained,,0,Infinity
extension,Extension,Task.extension,,0,Infinity
modifierExtension,Extension,Task.modifierExtension,,0,Infinity
identifier,Identifier,Task.identifier,,0,Infinity
instantiatesCanonical,canonical,Task.instantiatesCanonical,,0,1
instantiatesUri,uri,Task.instantiatesUri,,0,1
basedOn,Reference,Task.basedOn,,0,Infinity
groupIdentifier,Identifier,Task.groupIdentifier,,0,1
partOf,Reference,Task.partOf,,0,Infinity
status,code,Task.status,"{""http://hl7.org/fhir/task-status""=>[""draft"", ""requested"", ""received"", ""accepted"", ""rejected"", ""ready"", ""cancelled"", ""in-progress"", ""on-hold"", ""failed"", ""completed"", ""entered-in-error""]}",1,1
statusReason,CodeableConcept,Task.statusReason,,0,1
businessStatus,CodeableConcept,Task.businessStatus,,0,1
intent,code,Task.intent,"{""http://hl7.org/fhir/task-intent""=>[""unknown""], ""http://hl7.org/fhir/request-intent""=>[""proposal"", ""plan"", ""order"", ""original-order"", ""reflex-order"", ""filler-order"", ""instance-order"", ""option""]}",1,1
priority,code,Task.priority,"{""http://hl7.org/fhir/request-priority""=>[""routine"", ""urgent"", ""asap"", ""stat""]}",0,1
code,CodeableConcept,Task.code,"{""http://hl7.org/fhir/CodeSystem/task-code""=>[""approve"", ""fulfill"", ""abort"", ""replace"", ""change"", ""suspend"", ""resume""]}",0,1
description,string,Task.description,,0,1
focus,Reference,Task.focus,,0,1
for,Reference,Task.for,,0,1
encounter,Reference,Task.encounter,,0,1
executionPeriod,Period,Task.executionPeriod,,0,1
authoredOn,dateTime,Task.authoredOn,,0,1
lastModified,dateTime,Task.lastModified,,0,1
requester,Reference,Task.requester,,0,1
