id,id,VerificationResult.id,,0,1,[]
meta,Meta,VerificationResult.meta,,0,1,[]
implicitRules,uri,VerificationResult.implicitRules,,0,1,[]
language,code,VerificationResult.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,VerificationResult.text,,0,1,[]
contained,Resource,VerificationResult.contained,,0,Infinity,[]
extension,Extension,VerificationResult.extension,,0,Infinity,[]
modifierExtension,Extension,VerificationResult.modifierExtension,,0,Infinity,[]
target,Reference,VerificationResult.target,,0,Infinity,"[""Resource""]"
targetLocation,string,VerificationResult.targetLocation,,0,Infinity,[]
need,CodeableConcept,VerificationResult.need,"{""http://terminology.hl7.org/CodeSystem/need""=>[""none"", ""initial"", ""periodic""]}",0,1,[]
status,code,VerificationResult.status,"{""http://hl7.org/fhir/CodeSystem/status""=>[""attested"", ""validated"", ""in-process"", ""req-revalid"", ""val-fail"", ""reval-fail""]}",1,1,[]
statusDate,dateTime,VerificationResult.statusDate,,0,1,[]
validationType,CodeableConcept,VerificationResult.validationType,"{""http://terminology.hl7.org/CodeSystem/validation-type""=>[""nothing"", ""primary"", ""multiple""]}",0,1,[]
validationProcess,CodeableConcept,VerificationResult.validationProcess,"{""http://terminology.hl7.org/CodeSystem/validation-process""=>[""edit-check"", ""valueset"", ""primary"", ""multi"", ""standalone"", ""in-context""]}",0,Infinity,[]
frequency,Timing,VerificationResult.frequency,,0,1,[]
lastPerformed,dateTime,VerificationResult.lastPerformed,,0,1,[]
nextScheduled,date,VerificationResult.nextScheduled,,0,1,[]
failureAction,CodeableConcept,VerificationResult.failureAction,"{""http://terminology.hl7.org/CodeSystem/failure-action""=>[""fatal"", ""warn"", ""rec-only"", ""none""]}",0,1,[]
primarySource,VerificationResult::PrimarySource,VerificationResult.primarySource,,0,Infinity,[]
attestation,VerificationResult::Attestation,VerificationResult.attestation,,0,1,[]
validator,VerificationResult::Validator,VerificationResult.validator,,0,Infinity,[]
