id,string
extension,Extension
modifierExtension,Extension
path,string
representation,code
sliceName,string
sliceIsConstraining,boolean
label,string
code,Coding
slicing,ElementDefinition::Slicing
short,string
definition,markdown
comment,markdown
requirements,markdown
alias,string
min,unsignedInt
max,string
base,ElementDefinition::Base
contentReference,uri
type,ElementDefinition::Type
defaultValueBase64Binary,base64Binary
defaultValueBoolean,boolean
defaultValueCanonical,canonical
defaultValueCode,code
defaultValueDate,date
defaultValueDateTime,dateTime
defaultValueDecimal,decimal
defaultValueId,id
defaultValueInstant,instant
defaultValueInteger,integer
defaultValueMarkdown,markdown
defaultValueOid,oid
defaultValuePositiveInt,positiveInt
defaultValueString,string
defaultValueTime,time
defaultValueUnsignedInt,unsignedInt
defaultValueUri,uri
defaultValueUrl,url
defaultValueUuid,uuid
defaultValueAddress,Address
defaultValueAge,Age
defaultValueAnnotation,Annotation
defaultValueAttachment,Attachment
defaultValueCodeableConcept,CodeableConcept
defaultValueCoding,Coding
defaultValueContactPoint,ContactPoint
defaultValueCount,Count
defaultValueDistance,Distance
defaultValueDuration,Duration
defaultValueHumanName,HumanName
defaultValueIdentifier,Identifier
defaultValueMoney,Money
defaultValuePeriod,Period
defaultValueQuantity,Quantity
defaultValueRange,Range
defaultValueRatio,Ratio
defaultValueReference,Reference
defaultValueSampledData,SampledData
defaultValueSignature,Signature
defaultValueTiming,Timing
defaultValueContactDetail,ContactDetail
defaultValueContributor,Contributor
defaultValueDataRequirement,DataRequirement
defaultValueExpression,Expression
defaultValueParameterDefinition,ParameterDefinition
defaultValueRelatedArtifact,RelatedArtifact
defaultValueTriggerDefinition,TriggerDefinition
defaultValueUsageContext,UsageContext
defaultValueDosage,Dosage
defaultValueMeta,Meta
meaningWhenMissing,markdown
orderMeaning,string
fixedBase64Binary,base64Binary
fixedBoolean,boolean
fixedCanonical,canonical
fixedCode,code
fixedDate,date
fixedDateTime,dateTime
fixedDecimal,decimal
fixedId,id
fixedInstant,instant
fixedInteger,integer
fixedMarkdown,markdown
fixedOid,oid
fixedPositiveInt,positiveInt
fixedString,string
fixedTime,time
fixedUnsignedInt,unsignedInt
fixedUri,uri
fixedUrl,url
fixedUuid,uuid
fixedAddress,Address
fixedAge,Age
fixedAnnotation,Annotation
fixedAttachment,Attachment
fixedCodeableConcept,CodeableConcept
fixedCoding,Coding
fixedContactPoint,ContactPoint
fixedCount,Count
fixedDistance,Distance
fixedDuration,Duration
fixedHumanName,HumanName
fixedIdentifier,Identifier
fixedMoney,Money
fixedPeriod,Period
fixedQuantity,Quantity
fixedRange,Range
fixedRatio,Ratio
fixedReference,Reference
fixedSampledData,SampledData
fixedSignature,Signature
fixedTiming,Timing
fixedContactDetail,ContactDetail
fixedContributor,Contributor
fixedDataRequirement,DataRequirement
fixedExpression,Expression
fixedParameterDefinition,ParameterDefinition
fixedRelatedArtifact,RelatedArtifact
fixedTriggerDefinition,TriggerDefinition
fixedUsageContext,UsageContext
fixedDosage,Dosage
fixedMeta,Meta
patternBase64Binary,base64Binary
patternBoolean,boolean
patternCanonical,canonical
patternCode,code
patternDate,date
patternDateTime,dateTime
patternDecimal,decimal
patternId,id
patternInstant,instant
patternInteger,integer
patternMarkdown,markdown
patternOid,oid
patternPositiveInt,positiveInt
patternString,string
patternTime,time
patternUnsignedInt,unsignedInt
patternUri,uri
patternUrl,url
patternUuid,uuid
patternAddress,Address
patternAge,Age
patternAnnotation,Annotation
patternAttachment,Attachment
patternCodeableConcept,CodeableConcept
patternCoding,Coding
patternContactPoint,ContactPoint
patternCount,Count
patternDistance,Distance
patternDuration,Duration
patternHumanName,HumanName
patternIdentifier,Identifier
patternMoney,Money
patternPeriod,Period
patternQuantity,Quantity
patternRange,Range
patternRatio,Ratio
patternReference,Reference
patternSampledData,SampledData
patternSignature,Signature
patternTiming,Timing
patternContactDetail,ContactDetail
patternContributor,Contributor
patternDataRequirement,DataRequirement
patternExpression,Expression
patternParameterDefinition,ParameterDefinition
patternRelatedArtifact,RelatedArtifact
patternTriggerDefinition,TriggerDefinition
patternUsageContext,UsageContext
patternDosage,Dosage
patternMeta,Meta
example,ElementDefinition::Example
minValueDate,date
minValueDateTime,dateTime
minValueInstant,instant
minValueTime,time
minValueDecimal,decimal
minValueInteger,integer
minValuePositiveInt,positiveInt
minValueUnsignedInt,unsignedInt
minValueQuantity,Quantity
maxValueDate,date
maxValueDateTime,dateTime
maxValueInstant,instant
maxValueTime,time
maxValueDecimal,decimal
maxValueInteger,integer
maxValuePositiveInt,positiveInt
maxValueUnsignedInt,unsignedInt
maxValueQuantity,Quantity
maxLength,integer
condition,id
constraint,ElementDefinition::Constraint
mustSupport,boolean
isModifier,boolean
isModifierReason,string
isSummary,boolean
binding,ElementDefinition::Binding
mapping,ElementDefinition::Mapping
