id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
actuality,code
category,CodeableConcept
event,CodeableConcept
subject,Reference
encounter,Reference
date,dateTime
detected,dateTime
recordedDate,dateTime
resultingCondition,Reference
location,Reference
seriousness,CodeableConcept
severity,CodeableConcept
outcome,CodeableConcept
recorder,Reference
contributor,Reference
suspectEntity,AdverseEvent::SuspectEntity
subjectMedicalHistory,Reference
referenceDocument,Reference
study,Reference
