id,id,ChargeItemDefinition.id,,0,1,[]
meta,Meta,ChargeItemDefinition.meta,,0,1,[]
implicitRules,uri,ChargeItemDefinition.implicitRules,,0,1,[]
language,code,ChargeItemDefinition.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,ChargeItemDefinition.text,,0,1,[]
contained,Resource,ChargeItemDefinition.contained,,0,Infinity,[]
extension,Extension,ChargeItemDefinition.extension,,0,Infinity,[]
modifierExtension,Extension,ChargeItemDefinition.modifierExtension,,0,Infinity,[]
url,uri,ChargeItemDefinition.url,,1,1,[]
identifier,Identifier,ChargeItemDefinition.identifier,,0,Infinity,[]
version,string,ChargeItemDefinition.version,,0,1,[]
title,string,ChargeItemDefinition.title,,0,1,[]
derivedFromUri,uri,ChargeItemDefinition.derivedFromUri,,0,Infinity,[]
partOf,canonical,ChargeItemDefinition.partOf,,0,Infinity,[]
replaces,canonical,ChargeItemDefinition.replaces,,0,Infinity,[]
status,code,ChargeItemDefinition.status,"{""http://hl7.org/fhir/publication-status""=>[""draft"", ""active"", ""retired"", ""unknown""]}",1,1,[]
experimental,boolean,ChargeItemDefinition.experimental,,0,1,[]
date,dateTime,ChargeItemDefinition.date,,0,1,[]
publisher,string,ChargeItemDefinition.publisher,,0,1,[]
contact,ContactDetail,ChargeItemDefinition.contact,,0,Infinity,[]
description,markdown,ChargeItemDefinition.description,,0,1,[]
useContext,UsageContext,ChargeItemDefinition.useContext,,0,Infinity,[]
jurisdiction,CodeableConcept,ChargeItemDefinition.jurisdiction,,0,Infinity,[]
copyright,markdown,ChargeItemDefinition.copyright,,0,1,[]
approvalDate,date,ChargeItemDefinition.approvalDate,,0,1,[]
lastReviewDate,date,ChargeItemDefinition.lastReviewDate,,0,1,[]
effectivePeriod,Period,ChargeItemDefinition.effectivePeriod,,0,1,[]
code,CodeableConcept,ChargeItemDefinition.code,"{""http://terminology.hl7.org/CodeSystem/chargeitem-billingcodes""=>[""1100"", ""1210"", ""1320""]}",0,1,[]
instance,Reference,ChargeItemDefinition.instance,,0,Infinity,"[""Medication"", ""Substance"", ""Device""]"
applicability,ChargeItemDefinition::Applicability,ChargeItemDefinition.applicability,,0,Infinity,[]
propertyGroup,ChargeItemDefinition::PropertyGroup,ChargeItemDefinition.propertyGroup,,0,Infinity,[]
