id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
udiDeviceIdentifier,DeviceDefinition::UdiDeviceIdentifier
manufacturerString,string
manufacturerReference,Reference
deviceName,DeviceDefinition::DeviceName
modelNumber,string
type,CodeableConcept
specialization,DeviceDefinition::Specialization
version,string
safety,CodeableConcept
shelfLifeStorage,ProductShelfLife
physicalCharacteristics,ProdCharacteristic
languageCode,CodeableConcept
capability,DeviceDefinition::Capability
property,DeviceDefinition::Property
owner,Reference
contact,ContactPoint
url,uri
onlineInformation,uri
note,Annotation
quantity,Quantity
parentDevice,Reference
material,DeviceDefinition::Material
