id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
masterIdentifier,Identifier
identifier,Identifier
status,code
docStatus,code
type,CodeableConcept
category,CodeableConcept
subject,Reference
date,instant
author,Reference
authenticator,Reference
custodian,Reference
relatesTo,DocumentReference::RelatesTo
description,string
securityLabel,CodeableConcept
content,DocumentReference::Content
context,DocumentReference::Context
