id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
partOf,Reference
status,code
statusReasonCodeableConcept,CodeableConcept
statusReasonReference,Reference
category,CodeableConcept
medicationCodeableConcept,CodeableConcept
medicationReference,Reference
subject,Reference
context,Reference
supportingInformation,Reference
performer,MedicationDispense::Performer
location,Reference
authorizingPrescription,Reference
type,CodeableConcept
quantity,Quantity
daysSupply,Quantity
whenPrepared,dateTime
whenHandedOver,dateTime
destination,Reference
receiver,Reference
note,Annotation
dosageInstruction,Dosage
substitution,MedicationDispense::Substitution
detectedIssue,Reference
eventHistory,Reference
