id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
type,CodeableConcept
domain,Coding
combinedPharmaceuticalDoseForm,CodeableConcept
legalStatusOfSupply,CodeableConcept
additionalMonitoringIndicator,CodeableConcept
specialMeasures,string
paediatricUseIndicator,CodeableConcept
productClassification,CodeableConcept
marketingStatus,MarketingStatus
pharmaceuticalProduct,Reference
packagedMedicinalProduct,Reference
attachedDocument,Reference
masterFile,Reference
contact,Reference
clinicalTrial,Reference
name,MedicinalProduct::Name
crossReference,Identifier
manufacturingBusinessOperation,MedicinalProduct::ManufacturingBusinessOperation
specialDesignation,MedicinalProduct::SpecialDesignation
