id,id,NutritionOrder.id,,0,1,[]
meta,Meta,NutritionOrder.meta,,0,1,[]
implicitRules,uri,NutritionOrder.implicitRules,,0,1,[]
language,code,NutritionOrder.language,"{""urn:ietf:bcp:47""=>[""ar"", ""bn"", ""cs"", ""da"", ""de"", ""de-AT"", ""de-CH"", ""de-DE"", ""el"", ""en"", ""en-AU"", ""en-CA"", ""en-GB"", ""en-IN"", ""en-NZ"", ""en-SG"", ""en-US"", ""es"", ""es-AR"", ""es-ES"", ""es-UY"", ""fi"", ""fr"", ""fr-BE"", ""fr-CH"", ""fr-FR"", ""fy"", ""fy-NL"", ""hi"", ""hr"", ""it"", ""it-CH"", ""it-IT"", ""ja"", ""ko"", ""nl"", ""nl-BE"", ""nl-NL"", ""no"", ""no-NO"", ""pa"", ""pl"", ""pt"", ""pt-BR"", ""ru"", ""ru-RU"", ""sr"", ""sr-RS"", ""sv"", ""sv-SE"", ""te"", ""zh"", ""zh-CN"", ""zh-HK"", ""zh-SG"", ""zh-TW""]}",0,1,[]
text,Narrative,NutritionOrder.text,,0,1,[]
contained,Resource,NutritionOrder.contained,,0,Infinity,[]
extension,Extension,NutritionOrder.extension,,0,Infinity,[]
modifierExtension,Extension,NutritionOrder.modifierExtension,,0,Infinity,[]
identifier,Identifier,NutritionOrder.identifier,,0,Infinity,[]
instantiatesCanonical,canonical,NutritionOrder.instantiatesCanonical,,0,Infinity,[]
instantiatesUri,uri,NutritionOrder.instantiatesUri,,0,Infinity,[]
instantiates,uri,NutritionOrder.instantiates,,0,Infinity,[]
status,code,NutritionOrder.status,"{""http://hl7.org/fhir/request-status""=>[""draft"", ""active"", ""on-hold"", ""revoked"", ""completed"", ""entered-in-error"", ""unknown""]}",1,1,[]
intent,code,NutritionOrder.intent,"{""http://hl7.org/fhir/request-intent""=>[""proposal"", ""plan"", ""directive"", ""order"", ""original-order"", ""reflex-order"", ""filler-order"", ""instance-order"", ""option""]}",1,1,[]
patient,Reference,NutritionOrder.patient,,1,1,"[""Patient""]"
encounter,Reference,NutritionOrder.encounter,,0,1,"[""Encounter""]"
dateTime,dateTime,NutritionOrder.dateTime,,1,1,[]
orderer,Reference,NutritionOrder.orderer,,0,1,"[""Practitioner"", ""PractitionerRole""]"
allergyIntolerance,Reference,NutritionOrder.allergyIntolerance,,0,Infinity,"[""AllergyIntolerance""]"
foodPreferenceModifier,CodeableConcept,NutritionOrder.foodPreferenceModifier,"{""http://terminology.hl7.org/CodeSystem/diet""=>[""vegetarian"", ""dairy-free"", ""nut-free"", ""gluten-free"", ""vegan"", ""halal"", ""kosher""]}",0,Infinity,[]
excludeFoodModifier,CodeableConcept,NutritionOrder.excludeFoodModifier,"{""http://snomed.info/sct""=>[""3718001"", ""4700006"", ""7661006"", ""7791007"", ""10249006"", ""10827009"", ""13577000"", ""14263006"", ""22836000"", ""23182003"", ""24515005"", ""25743006"", ""28230009"", ""28647000"", ""28942008"", ""39102003"", ""41834005"", ""43708003"", ""44027008"", ""44632005"", ""46329000"", ""50479000"", ""50593009"", ""51905005"", ""53875002"", ""54041009"", ""63045006"", ""63766005"", ""67324005"", ""70813002"", ""72511004"", ""74242007"", ""75476008"", ""77722008"", ""80743002"", ""82450006"", ""82566005"", ""83235009"", ""83595008"", ""85668006"", ""89707004"", ""89811004"", ""90677004"", ""91606004"", ""96364008"", ""102259006"", ""102260001"", ""102261002"", ""102262009"", ""102263004"", ""102264005"", ""102270004"", ""102271000"", ""102697003"", ""102698008"", ""102699000"", ""108743002"", ""109010000"", ""116957009"", ""117633004"", ""126076005"", ""126077001"", ""126078006"", ""126079003"", ""126080000"", ""126081001"", ""126082008"", ""127384006"", ""226017009"", ""226021002"", ""226022009"", ""226023004"", ""226024005"", ""226037008"", ""226041007"", ""226046002"", ""226061001"", ""226062008"", ""226358006"", ""226359003"", ""226367006"", ""226368001"", ""226491003"", ""226492005"", ""226493000"", ""226495007"", ""226496008"", ""226497004"", ""226498009"", ""226529007"", ""226530002"", ""226531003"", ""226532005"", ""226533000"", ""226534006"", ""226535007"", ""226536008"", ""226537004"", ""226538009"", ""226539001"", ""226540004"", ""226541000"", ""226542007"", ""226543002"", ""226544008"", ""226546005"", ""226547001"", ""226548006"", ""226549003"", ""226550003"", ""226551004"", ""226552006"", ""226553001"", ""226554007"", ""226555008"", ""226556009"", ""226557000"", ""226558005"", ""226559002"", ""226560007"", ""226561006"", ""226562004"", ""226563009"", ""226564003"", ""226565002"", ""226566001"", ""226567005"", ""226568000"", ""226569008"", ""226570009"", ""226571008"", ""226572001"", ""226574000"", ""226575004"", ""226576003"", ""226577007"", ""226578002"", ""226579005"", ""226580008"", ""226581007"", ""226582000"", ""226583005"", ""226584004"", ""226585003"", ""226587006"", ""226589009"", ""226590000"", ""226592008"", ""226593003"", ""226595005"", ""226596006"", ""226597002"", ""226598007"", ""226601002"", ""226604005"", ""226605006"", ""226611009"", ""226612002"", ""226613007"", ""226614001"", ""226616004"", ""226617008"", ""226618003"", ""226619006"", ""226620000"", ""226621001"", ""226622008"", ""226639005"", ""226640007"", ""226641006"", ""226642004"", ""226643009"", ""226644003"", ""226645002"", ""226647005"", ""226648000"", ""226649008"", ""226650008"", ""226651007"", ""226652000"", ""226653005"", ""226654004"", ""226655003"", ""226656002"", ""226657006"", ""226658001"", ""226659009"", ""226660004"", ""226661000"", ""226662007"", ""226663002"", ""226664008"", ""226665009"", ""226666005"", ""226667001"", ""226668006"", ""226669003"", ""226670002"", ""226671003"", ""226672005"", ""226673000"", ""226674006"", ""226675007"", ""226676008"", ""226677004"", ""226678009"", ""226679001"", ""226680003"", ""226681004"", ""226682006"", ""226683001"", ""226684007"", ""226685008"", ""226686009"", ""226687000"", ""226688005"", ""226689002"", ""226690006"", ""226691005"", ""226692003"", ""226693008"", ""226694002"", ""226695001"", ""226697009"", ""226698004"", ""226699007"", ""226700008"", ""226701007"", ""226702000"", ""226703005"", ""226704004"", ""226705003"", ""226706002"", ""226707006"", ""226708001"", ""226709009"", ""226710004"", ""226711000"", ""226712007"", ""226713002"", ""226714008"", ""226715009"", ""226716005"", ""226717001"", ""226718006"", ""226719003"", ""226720009"", ""226721008"", ""226722001"", ""226723006"", ""226724000"", ""226725004"", ""226726003"", ""226727007"", ""226728002"", ""226729005"", ""226730000"", ""226731001"", ""226732008"", ""226733003"", ""226734009"", ""226735005"", ""226736006"", ""226737002"", ""226738007"", ""226739004"", ""226740002"", ""226741003"", ""226742005"", ""226743000"", ""226744006"", ""226745007"", ""226746008"", ""226747004"", ""226748009"", ""226749001"", ""226750001"", ""226751002"", ""226752009"", ""226753004"", ""226754005"", ""226755006"", ""226756007"", ""226757003"", ""226758008"", ""226759000"", ""226760005"", ""226761009"", ""226762002"", ""226763007"", ""226764001"", ""226765000"", ""226766004"", ""226767008"", ""226768003"", ""226769006"", ""226770007"", ""226771006"", ""226774003"", ""226775002"", ""226776001"", ""226777005"", ""226778000"", ""226779008"", ""226780006"", ""226781005"", ""226782003"", ""226783008"", ""226784002"", ""226785001"", ""226786000"", ""226787009"", ""226788004"", ""226789007"", ""226790003"", ""226791004"", ""226793001"", ""226795008"", ""226796009"", ""226797000"", ""226798005"", ""226799002"", ""226800003"", ""226801004"", ""226802006"", ""226803001"", ""226804007"", ""226805008"", ""226806009"", ""226807000"", ""226808005"", ""226809002"", ""226810007"", ""226811006"", ""226812004"", ""226813009"", ""226814003"", ""226815002"", ""226816001"", ""226817005"", ""226818000"", ""226819008"", ""226820002"", ""226821003"", ""226822005"", ""226823000"", ""226824006"", ""226825007"", ""226826008"", ""226827004"", ""226828009"", ""226829001"", ""226830006"", ""226831005"", ""226832003"", ""226834002"", ""226835001"", ""226836000"", ""226837009"", ""226838004"", ""226839007"", ""226840009"", ""226841008"", ""226842001"", ""226843006"", ""226844000"", ""226845004"", ""226846003"", ""226847007"", ""226848002"", ""226849005"", ""226850005"", ""226851009"", ""226852002"", ""226853007"", ""226854001"", ""226855000"", ""226856004"", ""226857008"", ""226858003"", ""226859006"", ""226860001"", ""226861002"", ""226862009"", ""226863004"", ""226864005"", ""226865006"", ""226866007"", ""226867003"", ""226868008"", ""226869000"", ""226870004"", ""226871000"", ""226872007"", ""226873002"", ""226874008"", ""226875009"", ""226876005"", ""226877001"", ""226878006"", ""226879003"", ""226880000"", ""226881001"", ""226882008"", ""226883003"", ""226884009"", ""226885005"", ""226886006"", ""226887002"", ""226888007"", ""226889004"", ""226890008"", ""226891007"", ""226892000"", ""226894004"", ""226895003"", ""226896002"", ""226897006"", ""226898001"", ""226899009"", ""226900004"", ""226901000"", ""226902007"", ""226903002"", ""226904008"", ""226905009"", ""226906005"", ""226907001"", ""226908006"", ""226909003"", ""226910008"", ""226911007"", ""226912000"", ""226913005"", ""226914004"", ""226915003"", ""226916002"", ""226917006"", ""226918001"", ""226919009"", ""226920003"", ""226921004"", ""226922006"", ""226923001"", ""226924007"", ""226925008"", ""226926009"", ""226927000"", ""226928005"", ""226929002"", ""226930007"", ""226931006"", ""226932004"", ""226933009"", ""226934003"", ""226935002"", ""226936001"", ""226937005"", ""226938000"", ""226939008"", ""226940005"", ""226941009"", ""226942002"", ""226943007"", ""226944001"", ""226945000"", ""226946004"", ""226947008"", ""226948003"", ""226949006"", ""226950006"", ""226951005"", ""226952003"", ""226953008"", ""226954002"", ""226955001"", ""226956000"", ""226957009"", ""226958004"", ""226959007"", ""226960002"", ""226961003"", ""226962005"", ""226963000"", ""226964006"", ""226965007"", ""226966008"", ""226967004"", ""226968009"", ""226969001"", ""226970000"", ""226971001"", ""226972008"", ""226973003"", ""226974009"", ""226975005"", ""226976006"", ""226977002"", ""226978007"", ""226979004"", ""226980001"", ""226981002"", ""226982009"", ""226983004"", ""226984005"", ""226985006"", ""226987003"", ""226988008"", ""226989000"", ""226990009"", ""226991008"", ""226992001"", ""226993006"", ""226994000"", ""226995004"", ""226996003"", ""226997007"", ""226998002"", ""226999005"", ""227000008"", ""227001007"", ""227002000"", ""227003005"", ""227004004"", ""227005003"", ""227006002"", ""227007006"", ""227008001"", ""227009009"", ""227010004"", ""227011000"", ""227012007"", ""227013002"", ""227014008"", ""227015009"", ""227016005"", ""227017001"", ""227018006"", ""227019003"", ""227020009"", ""227021008"", ""227022001"", ""227023006"", ""227024000"", ""227025004"", ""227026003"", ""227027007"", ""227028002"", ""227029005"", ""227030000"", ""227031001"", ""227032008"", ""227033003"", ""227034009"", ""227036006"", ""227037002"", ""227038007"", ""227040002"", ""227041003"", ""227042005"", ""227043000"", ""227044006"", ""227045007"", ""227046008"", ""227047004"", ""227048009"", ""227049001"", ""227050001"", ""227051002"", ""227052009"", ""227053004"", ""227054005"", ""227055006"", ""227056007"", ""227057003"", ""227058008"", ""227059000"", ""227060005"", ""227061009"", ""227062002"", ""227063007"", ""227064001"", ""227065000"", ""227066004"", ""227067008"", ""227068003"", ""227069006"", ""227070007"", ""227071006"", ""227072004"", ""227073009"", ""227074003"", ""227075002"", ""227076001"", ""227078000"", ""227079008"", ""227080006"", ""227081005"", ""227082003"", ""227083008"", ""227084002"", ""227085001"", ""227086000"", ""227087009"", ""227088004"", ""227089007"", ""227091004"", ""227092006"", ""227093001"", ""227094007"", ""227095008"", ""227096009"", ""227097000"", ""227098005"", ""227099002"", ""227100005"", ""227101009"", ""227102002"", ""227103007"", ""227104001"", ""227105000"", ""227106004"", ""227107008"", ""227108003"", ""227109006"", ""227110001"", ""227111002"", ""227112009"", ""227113004"", ""227114005"", ""227115006"", ""227116007"", ""227117003"", ""227118008"", ""227119000"", ""227120006"", ""227121005"", ""227122003"", ""227123008"", ""227124002"", ""227125001"", ""227126000"", ""227127009"", ""227128004"", ""227129007"", ""227130002"", ""227131003"", ""227132005"", ""227133000"", ""227134006"", ""227135007"", ""227136008"", ""227137004"", ""227138009"", ""227139001"", ""227140004"", ""227141000"", ""227142007"", ""227143002"", ""227144008"", ""227145009"", ""227146005"", ""227147001"", ""227148006"", ""227149003"", ""227150003"", ""227151004"", ""227152006"", ""227153001"", ""227154007"", ""227155008"", ""227156009"", ""227157000"", ""227158005"", ""227159002"", ""227160007"", ""227161006"", ""227162004"", ""227163009"", ""227164003"", ""227165002"", ""227167005"", ""227168000"", ""227169008"", ""227170009"", ""227171008"", ""227172001"", ""227173006"", ""227174000"", ""227175004"", ""227176003"", ""227177007"", ""227178002"", ""227179005"", ""227180008"", ""227181007"", ""227182000"", ""227183005"", ""227184004"", ""227185003"", ""227186002"", ""227187006"", ""227188001"", ""227189009"", ""227190000"", ""227191001"", ""227193003"", ""227194009"", ""227195005"", ""227196006"", ""227197002"", ""227198007"", ""227199004"", ""227200001"", ""227201002"", ""227202009"", ""227203004"", ""227204005"", ""227205006"", ""227206007"", ""227207003"", ""227208008"", ""227209000"", ""227210005"", ""227212002"", ""227213007"", ""227214001"", ""227215000"", ""227216004"", ""227217008"", ""227218003"", ""227219006"", ""227220000"", ""227221001"", ""227222008"", ""227223003"", ""227224009"", ""227225005"", ""227226006"", ""227227002"", ""227228007"", ""227229004"", ""227230009"", ""227231008"", ""227232001"", ""227233006"", ""227234000"", ""227235004"", ""227236003"", ""227237007"", ""227238002"", ""227239005"", ""227240007"", ""227241006"", ""227242004"", ""227243009"", ""227244003"", ""227245002"", ""227246001"", ""227247005"", ""227248000"", ""227249008"", ""227250008"", ""227251007"", ""227252000"", ""227253005"", ""227254004"", ""227255003"", ""227256002"", ""227257006"", ""227258001"", ""227259009"", ""227260004"", ""227261000"", ""227262007"", ""227263002"", ""227264008"", ""227265009"", ""227266005"", ""227267001"", ""227268006"", ""227269003"", ""227270002"", ""227271003"", ""227272005"", ""227273000"", ""227274006"", ""227275007"", ""227276008"", ""227277004"", ""227278009"", ""227279001"", ""227280003"", ""227281004"", ""227282006"", ""227283001"", ""227284007"", ""227285008"", ""227286009"", ""227287000"", ""227288005"", ""227289002"", ""227290006"", ""227291005"", ""227292003"", ""227294002"", ""227295001"", ""227296000"", ""227297009"", ""227298004"", ""227299007"", ""227300004"", ""227301000"", ""227302007"", ""227303002"", ""227304008"", ""227305009"", ""227306005"", ""227307001"", ""227308006"", ""227309003"", ""227310008"", ""227311007"", ""227312000"", ""227313005"", ""227314004"", ""227315003"", ""227316002"", ""227317006"", ""227318001"", ""227319009"", ""227320003"", ""227321004"", ""227322006"", ""227323001"", ""227324007"", ""227325008"", ""227326009"", ""227327000"", ""227328005"", ""227329002"", ""227330007"", ""227331006"", ""227332004"", ""227333009"", ""227334003"", ""227335002"", ""227336001"", ""227337005"", ""227338000"", ""227339008"", ""227340005"", ""227341009"", ""227342002"", ""227343007"", ""227344001"", ""227345000"", ""227346004"", ""227347008"", ""227348003"", ""227349006"", ""227350006"", ""227351005"", ""227352003"", ""227353008"", ""227354002"", ""227355001"", ""227356000"", ""227357009"", ""227358004"", ""227359007"", ""227360002"", ""227361003"", ""227362005"", ""227363000"", ""227364006"", ""227365007"", ""227366008"", ""227367004"", ""227368009"", ""227369001"", ""227370000"", ""227371001"", ""227372008"", ""227373003"", ""227374009"", ""227375005"", ""227376006"", ""227377002"", ""227378007"", ""227379004"", ""227380001"", ""227381002"", ""227382009"", ""227383004"", ""227384005"", ""227385006"", ""227386007"", ""227387003"", ""227388008"", ""227389000"", ""227390009"", ""227391008"", ""227392001"", ""227393006"", ""227395004"", ""227396003"", ""227397007"", ""227398002"", ""227399005"", ""227400003"", ""227401004"", ""227402006"", ""227403001"", ""227404007"", ""227405008"", ""227406009"", ""227407000"", ""227408005"", ""227409002"", ""227410007"", ""227411006"", ""227412004"", ""227413009"", ""227414003"", ""227415002"", ""227416001"", ""227417005"", ""227418000"", ""227419008"", ""227420002"", ""227421003"", ""227422005"", ""227423000"", ""227424006"", ""227425007"", ""227426008"", ""227427004"", ""227428009"", ""227429001"", ""227430006"", ""227431005"", ""227432003"", ""227433008"", ""227434002"", ""227435001"", ""227436000"", ""227437009"", ""227438004"", ""227439007"", ""227440009"", ""227441008"", ""227442001"", ""227443006"", ""227444000"", ""227445004"", ""227446003"", ""227447007"", ""227448002"", ""227449005"", ""227450005"", ""227451009"", ""227452002"", ""227453007"", ""227454001"", ""227455000"", ""227456004"", ""227457008"", ""227458003"", ""227459006"", ""227460001"", ""227461002"", ""227462009"", ""227463004"", ""227464005"", ""227465006"", ""227466007"", ""227467003"", ""227468008"", ""227469000"", ""227470004"", ""227471000"", ""227472007"", ""227473002"", ""227474008"", ""227475009"", ""227476005"", ""227477001"", ""227478006"", ""227479003"", ""227480000"", ""227481001"", ""227482008"", ""227483003"", ""227484009"", ""227485005"", ""227486006"", ""227487002"", ""227488007"", ""227489004""]}",0,Infinity,[]
oralDiet,NutritionOrder::OralDiet,NutritionOrder.oralDiet,,0,1,[]
supplement,NutritionOrder::Supplement,NutritionOrder.supplement,,0,Infinity,[]
enteralFormula,NutritionOrder::EnteralFormula,NutritionOrder.enteralFormula,,0,1,[]
note,Annotation,NutritionOrder.note,,0,Infinity,[]
