id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
instantiatesCanonical,canonical
instantiatesUri,uri
basedOn,Reference
partOf,Reference
status,code
statusReason,CodeableConcept
category,CodeableConcept
code,CodeableConcept
subject,Reference
encounter,Reference
performedDateTime,dateTime
performedPeriod,Period
performedString,string
performedAge,Age
performedRange,Range
recorder,Reference
asserter,Reference
performer,Procedure::Performer
location,Reference
reasonCode,CodeableConcept
reasonReference,Reference
bodySite,CodeableConcept
outcome,CodeableConcept
report,Reference
complication,CodeableConcept
complicationDetail,Reference
followUp,CodeableConcept
note,Annotation
focalDevice,Procedure::FocalDevice
usedReference,Reference
usedCode,CodeableConcept
