id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
clinicalStatus,CodeableConcept
verificationStatus,CodeableConcept
type,code
category,code
criticality,code
code,CodeableConcept
patient,Reference
encounter,Reference
onsetDateTime,dateTime
onsetAge,Age
onsetPeriod,Period
onsetRange,Range
onsetString,string
recordedDate,dateTime
recorder,Reference
asserter,Reference
lastOccurrence,dateTime
note,Annotation
reaction,AllergyIntolerance::Reaction
