id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
url,uri
version,string
name,string
title,string
status,code
experimental,boolean
date,dateTime
publisher,string
contact,ContactDetail
description,markdown
useContext,UsageContext
jurisdiction,CodeableConcept
purpose,markdown
copyright,markdown
kind,code
instantiates,canonical
imports,canonical
software,CapabilityStatement::Software
implementation,CapabilityStatement::Implementation
fhirVersion,code
format,code
patchFormat,code
implementationGuide,canonical
rest,CapabilityStatement::Rest
messaging,CapabilityStatement::Messaging
document,CapabilityStatement::Document
