id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
status,code
statusReason,CodeableConcept
code,CodeableConcept
description,string
subject,Reference
encounter,Reference
effectiveDateTime,dateTime
effectivePeriod,Period
date,dateTime
assessor,Reference
previous,Reference
problem,Reference
investigation,ClinicalImpression::Investigation
protocol,uri
summary,string
finding,ClinicalImpression::Finding
prognosisCodeableConcept,CodeableConcept
prognosisReference,Reference
supportingInfo,Reference
note,Annotation
