id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
basedOn,Reference
replaces,Reference
groupIdentifier,Identifier
status,code
statusReason,CodeableConcept
category,CodeableConcept
priority,code
doNotPerform,boolean
medium,CodeableConcept
subject,Reference
about,Reference
encounter,Reference
payload,CommunicationRequest::Payload
occurrenceDateTime,dateTime
occurrencePeriod,Period
authoredOn,dateTime
requester,Reference
recipient,Reference
sender,Reference
reasonCode,CodeableConcept
reasonReference,Reference
note,Annotation
