id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
url,uri
version,string
status,code
legalState,CodeableConcept
instantiatesCanonical,Reference
instantiatesUri,uri
contentDerivative,CodeableConcept
issued,dateTime
applies,Period
expirationType,CodeableConcept
subject,Reference
authority,Reference
domain,Reference
site,Reference
name,string
title,string
subtitle,string
alias,string
author,Reference
scope,CodeableConcept
topicCodeableConcept,CodeableConcept
topicReference,Reference
type,CodeableConcept
subType,CodeableConcept
contentDefinition,Contract::ContentDefinition
term,Contract::Term
supportingInfo,Reference
relevantHistory,Reference
signer,Contract::Signer
friendly,Contract::Friendly
legal,Contract::Legal
rule,Contract::Rule
legallyBindingAttachment,Attachment
legallyBindingReference,Reference
