id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
basedOn,Reference
status,code
category,CodeableConcept
code,CodeableConcept
subject,Reference
encounter,Reference
effectiveDateTime,dateTime
effectivePeriod,Period
issued,instant
performer,Reference
resultsInterpreter,Reference
specimen,Reference
result,Reference
imagingStudy,Reference
media,DiagnosticReport::Media
conclusion,string
conclusionCode,CodeableConcept
presentedForm,Attachment
