id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
status,code
type,CodeableConcept
subType,CodeableConcept
use,code
patient,Reference
billablePeriod,Period
created,dateTime
enterer,Reference
insurer,Reference
provider,Reference
priority,CodeableConcept
fundsReserveRequested,CodeableConcept
fundsReserve,CodeableConcept
related,ExplanationOfBenefit::Related
prescription,Reference
originalPrescription,Reference
payee,ExplanationOfBenefit::Payee
referral,Reference
facility,Reference
claim,Reference
claimResponse,Reference
outcome,code
disposition,string
preAuthRef,string
preAuthRefPeriod,Period
careTeam,ExplanationOfBenefit::CareTeam
supportingInfo,ExplanationOfBenefit::SupportingInfo
diagnosis,ExplanationOfBenefit::Diagnosis
procedure,ExplanationOfBenefit::Procedure
precedence,positiveInt
insurance,ExplanationOfBenefit::Insurance
accident,ExplanationOfBenefit::Accident
item,ExplanationOfBenefit::Item
addItem,ExplanationOfBenefit::AddItem
adjudication,ExplanationOfBenefit::Item::Adjudication
total,ExplanationOfBenefit::Total
payment,ExplanationOfBenefit::Payment
formCode,CodeableConcept
form,Attachment
processNote,ExplanationOfBenefit::ProcessNote
benefitPeriod,Period
benefitBalance,ExplanationOfBenefit::BenefitBalance
