id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
instantiatesCanonical,canonical
instantiatesUri,uri
instantiates,uri
status,code
intent,code
patient,Reference
encounter,Reference
dateTime,dateTime
orderer,Reference
allergyIntolerance,Reference
foodPreferenceModifier,CodeableConcept
excludeFoodModifier,CodeableConcept
oralDiet,NutritionOrder::OralDiet
supplement,NutritionOrder::Supplement
enteralFormula,NutritionOrder::EnteralFormula
note,Annotation
