id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
title,string
protocol,Reference
partOf,Reference
status,code
primaryPurposeType,CodeableConcept
phase,CodeableConcept
category,CodeableConcept
focus,CodeableConcept
condition,CodeableConcept
contact,ContactDetail
relatedArtifact,RelatedArtifact
keyword,CodeableConcept
location,CodeableConcept
description,markdown
enrollment,Reference
period,Period
sponsor,Reference
principalInvestigator,Reference
site,Reference
reasonStopped,CodeableConcept
note,Annotation
arm,ResearchStudy::Arm
objective,ResearchStudy::Objective
