id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
url,uri
identifier,Identifier
version,string
name,string
title,string
subtitle,string
status,code
experimental,boolean
subjectCodeableConcept,CodeableConcept
subjectReference,Reference
date,dateTime
publisher,string
contact,ContactDetail
description,markdown
useContext,UsageContext
jurisdiction,CodeableConcept
purpose,markdown
usage,string
copyright,markdown
approvalDate,date
lastReviewDate,date
effectivePeriod,Period
topic,CodeableConcept
author,ContactDetail
editor,ContactDetail
reviewer,ContactDetail
endorser,ContactDetail
relatedArtifact,RelatedArtifact
library,canonical
kind,code
profile,canonical
code,CodeableConcept
intent,code
priority,code
doNotPerform,boolean
timingTiming,Timing
timingDateTime,dateTime
timingAge,Age
timingPeriod,Period
timingRange,Range
timingDuration,Duration
location,Reference
participant,ActivityDefinition::Participant
productReference,Reference
productCodeableConcept,CodeableConcept
quantity,Quantity
dosage,Dosage
bodySite,CodeableConcept
specimenRequirement,Reference
observationRequirement,Reference
observationResultRequirement,Reference
transform,canonical
dynamicValue,ActivityDefinition::DynamicValue
