id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
status,code
cancelationReason,CodeableConcept
serviceCategory,CodeableConcept
serviceType,CodeableConcept
specialty,CodeableConcept
appointmentType,CodeableConcept
reasonCode,CodeableConcept
reasonReference,Reference
priority,unsignedInt
description,string
supportingInformation,Reference
start,instant
end,instant
minutesDuration,positiveInt
slot,Reference
created,dateTime
comment,string
patientInstruction,string
basedOn,Reference
participant,Appointment::Participant
requestedPeriod,Period
