id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
definitionUri,uri
definitionCanonical,canonical
status,code
partOf,Reference
code,CodeableConcept
subject,Reference
context,Reference
occurrenceDateTime,dateTime
occurrencePeriod,Period
occurrenceTiming,Timing
performer,ChargeItem::Performer
performingOrganization,Reference
requestingOrganization,Reference
costCenter,Reference
quantity,Quantity
bodysite,CodeableConcept
factorOverride,decimal
priceOverride,Money
overrideReason,string
enterer,Reference
enteredDate,dateTime
reason,CodeableConcept
service,Reference
productReference,Reference
productCodeableConcept,CodeableConcept
account,Reference
note,Annotation
supportingInformation,Reference
