id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
url,uri
identifier,Identifier
version,string
title,string
derivedFromUri,uri
partOf,canonical
replaces,canonical
status,code
experimental,boolean
date,dateTime
publisher,string
contact,ContactDetail
description,markdown
useContext,UsageContext
jurisdiction,CodeableConcept
copyright,markdown
approvalDate,date
lastReviewDate,date
effectivePeriod,Period
code,CodeableConcept
instance,Reference
applicability,ChargeItemDefinition::Applicability
propertyGroup,ChargeItemDefinition::PropertyGroup
