id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
definition,Reference
udiCarrier,Device::UdiCarrier
status,code
statusReason,CodeableConcept
distinctIdentifier,string
manufacturer,string
manufactureDate,dateTime
expirationDate,dateTime
lotNumber,string
serialNumber,string
deviceName,Device::DeviceName
modelNumber,string
partNumber,string
type,CodeableConcept
specialization,Device::Specialization
version,Device::Version
property,Device::Property
patient,Reference
owner,Reference
contact,ContactPoint
location,Reference
url,uri
note,Annotation
safety,CodeableConcept
parent,Reference
