id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
status,code
statusHistory,Encounter::StatusHistory
class,Coding
classHistory,Encounter::ClassHistory
type,CodeableConcept
serviceType,CodeableConcept
priority,CodeableConcept
subject,Reference
episodeOfCare,Reference
basedOn,Reference
participant,Encounter::Participant
appointment,Reference
period,Period
length,Duration
reasonCode,CodeableConcept
reasonReference,Reference
diagnosis,Encounter::Diagnosis
account,Reference
hospitalization,Encounter::Hospitalization
location,Encounter::Location
serviceProvider,Reference
partOf,Reference
