id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
instantiatesCanonical,canonical
instantiatesUri,uri
status,code
dataAbsentReason,CodeableConcept
patient,Reference
date,dateTime
name,string
relationship,CodeableConcept
sex,CodeableConcept
bornPeriod,Period
bornDate,date
bornString,string
ageAge,Age
ageRange,Range
ageString,string
estimatedAge,boolean
deceasedBoolean,boolean
deceasedAge,Age
deceasedRange,Range
deceasedDate,date
deceasedString,string
reasonCode,CodeableConcept
reasonReference,Reference
note,Annotation
condition,FamilyMemberHistory::Condition
