id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
lifecycleStatus,code
achievementStatus,CodeableConcept
category,CodeableConcept
priority,CodeableConcept
description,CodeableConcept
subject,Reference
startDate,date
startCodeableConcept,CodeableConcept
target,Goal::Target
statusDate,date
statusReason,string
expressedBy,Reference
addresses,Reference
note,Annotation
outcomeCode,CodeableConcept
outcomeReference,Reference
