id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
requestIdentifier,Identifier
identifier,Identifier
moduleUri,uri
moduleCanonical,canonical
moduleCodeableConcept,CodeableConcept
status,code
subject,Reference
encounter,Reference
occurrenceDateTime,dateTime
performer,Reference
reasonCode,CodeableConcept
reasonReference,Reference
note,Annotation
evaluationMessage,Reference
outputParameters,Reference
result,Reference
dataRequirement,DataRequirement
