id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
active,boolean
providedBy,Reference
category,CodeableConcept
type,CodeableConcept
specialty,CodeableConcept
location,Reference
name,string
comment,string
extraDetails,markdown
photo,Attachment
telecom,ContactPoint
coverageArea,Reference
serviceProvisionCode,CodeableConcept
eligibility,HealthcareService::Eligibility
program,CodeableConcept
characteristic,CodeableConcept
communication,CodeableConcept
referralMethod,CodeableConcept
appointmentRequired,boolean
availableTime,HealthcareService::AvailableTime
notAvailable,HealthcareService::NotAvailable
availabilityExceptions,string
endpoint,Reference
