id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
status,code
modality,Coding
subject,Reference
encounter,Reference
started,dateTime
basedOn,Reference
referrer,Reference
interpreter,Reference
endpoint,Reference
numberOfSeries,unsignedInt
numberOfInstances,unsignedInt
procedureReference,Reference
procedureCode,CodeableConcept
location,Reference
reasonCode,CodeableConcept
reasonReference,Reference
note,Annotation
description,string
series,ImagingStudy::Series
