id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
url,uri
version,string
name,string
title,string
status,code
experimental,boolean
date,dateTime
publisher,string
contact,ContactDetail
description,markdown
useContext,UsageContext
jurisdiction,CodeableConcept
copyright,markdown
packageId,id
license,code
fhirVersion,code
dependsOn,ImplementationGuide::DependsOn
global,ImplementationGuide::Global
definition,ImplementationGuide::Definition
manifest,ImplementationGuide::Manifest
