id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
basedOn,Reference
partOf,Reference
status,code
type,CodeableConcept
modality,CodeableConcept
view,CodeableConcept
subject,Reference
encounter,Reference
createdDateTime,dateTime
createdPeriod,Period
issued,instant
operator,Reference
reasonCode,CodeableConcept
bodySite,CodeableConcept
deviceName,string
device,Reference
height,positiveInt
width,positiveInt
frames,positiveInt
duration,decimal
content,Attachment
note,Annotation
