id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
instantiates,uri
partOf,Reference
status,code
statusReason,CodeableConcept
category,CodeableConcept
medicationCodeableConcept,CodeableConcept
medicationReference,Reference
subject,Reference
context,Reference
supportingInformation,Reference
effectiveDateTime,dateTime
effectivePeriod,Period
performer,MedicationAdministration::Performer
reasonCode,CodeableConcept
reasonReference,Reference
request,Reference
device,Reference
note,Annotation
dosage,MedicationAdministration::Dosage
eventHistory,Reference
