id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
code,CodeableConcept
status,code
manufacturer,Reference
doseForm,CodeableConcept
amount,Quantity
synonym,string
relatedMedicationKnowledge,MedicationKnowledge::RelatedMedicationKnowledge
associatedMedication,Reference
productType,CodeableConcept
monograph,MedicationKnowledge::Monograph
ingredient,MedicationKnowledge::Ingredient
preparationInstruction,markdown
intendedRoute,CodeableConcept
cost,MedicationKnowledge::Cost
monitoringProgram,MedicationKnowledge::MonitoringProgram
administrationGuidelines,MedicationKnowledge::AdministrationGuidelines
medicineClassification,MedicationKnowledge::MedicineClassification
packaging,MedicationKnowledge::Packaging
drugCharacteristic,MedicationKnowledge::DrugCharacteristic
contraindication,Reference
regulatory,MedicationKnowledge::Regulatory
kinetics,MedicationKnowledge::Kinetics
