id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
url,uri
identifier,Identifier
version,string
name,string
title,string
replaces,canonical
status,code
experimental,boolean
date,dateTime
publisher,string
contact,ContactDetail
description,markdown
useContext,UsageContext
jurisdiction,CodeableConcept
purpose,markdown
copyright,markdown
base,canonical
parent,canonical
eventCoding,Coding
eventUri,uri
category,code
focus,MessageDefinition::Focus
responseRequired,code
allowedResponse,MessageDefinition::AllowedResponse
graph,canonical
