id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
type,code
coordinateSystem,integer
patient,Reference
specimen,Reference
device,Reference
performer,Reference
quantity,Quantity
referenceSeq,MolecularSequence::ReferenceSeq
variant,MolecularSequence::Variant
observedSeq,string
quality,MolecularSequence::Quality
readCoverage,integer
repository,MolecularSequence::Repository
pointer,Reference
structureVariant,MolecularSequence::StructureVariant
