id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
basedOn,Reference
partOf,Reference
status,code
category,CodeableConcept
code,CodeableConcept
subject,Reference
focus,Reference
encounter,Reference
effectiveDateTime,dateTime
effectivePeriod,Period
effectiveTiming,Timing
effectiveInstant,instant
issued,instant
performer,Reference
valueQuantity,Quantity
valueCodeableConcept,CodeableConcept
valueString,string
valueBoolean,boolean
valueInteger,integer
valueRange,Range
valueRatio,Ratio
valueSampledData,SampledData
valueTime,time
valueDateTime,dateTime
valuePeriod,Period
dataAbsentReason,CodeableConcept
interpretation,CodeableConcept
note,Annotation
bodySite,CodeableConcept
method,CodeableConcept
specimen,Reference
device,Reference
referenceRange,Observation::ReferenceRange
hasMember,Reference
derivedFrom,Reference
component,Observation::Component
