id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
category,CodeableConcept
code,CodeableConcept
identifier,Identifier
permittedDataType,code
multipleResultsAllowed,boolean
method,CodeableConcept
preferredReportName,string
quantitativeDetails,ObservationDefinition::QuantitativeDetails
qualifiedInterval,ObservationDefinition::QualifiedInterval
validCodedValueSet,Reference
normalCodedValueSet,Reference
abnormalCodedValueSet,Reference
criticalCodedValueSet,Reference
